gene,ENSG ID,conc [pg/L],sample type,number_of_samples,pubmed id
CP,ENSG00000047457,1.60E+11,Plasma,10-100,21401300
CPA3,ENSG00000163751,3.70E+04,Plasma,10-100,29479356
CRH,ENSG00000147571,1.00E+04,Plasma,01-Sep,20807418
CRHBP,ENSG00000145708,7.20E+08,Plasma,N/A,7852886
CRP,ENSG00000132693,1.70E+09,Plasma,100+,19289618
CSF1,ENSG00000184371,4.00E+04,Plasma,10-100,22641612
CSF2,ENSG00000164400,5.50E+03,Plasma,10-100,10764326
CSF3,ENSG00000108342,5.70E+03,Plasma,10-100,22641612
CST3,ENSG00000101439,1.00E+09,Plasma,10-100,22641612
CTF1,ENSG00000150281,1.20E+04,Plasma,10-100,23783568
CX3CL1,ENSG00000006210,2.50E+05,Plasma,10-100,22260220
CXCL1,ENSG00000163739,1.10E+06,Plasma,10-100,22641612
CXCL10,ENSG00000169245,4.40E+05,Plasma,10-100,22641612
CXCL11,ENSG00000169248,5.00E+05,Plasma,10-100,23028695
CXCL12,ENSG00000107562,3.30E+04,Plasma,10-100,28446981
CXCL13,ENSG00000156234,6.10E+04,Plasma,10-100,22641612
CXCL14,ENSG00000145824,8.00E+05,Plasma,10-100,28250200
CXCL16,ENSG00000161921,5.00E+05,Plasma,10-100,28293269
CXCL3,ENSG00000163734,2.90E+04,Plasma,10-100,25485631
CXCL5,ENSG00000163735,1.80E+06,Plasma,10-100,22641612
CXCL6,ENSG00000124875,2.40E+05,Plasma,10-100,28446981
CXCL8,ENSG00000169429,7.30E+03,Plasma,10-100,22641612
CXCL9,ENSG00000138755,2.10E+06,Plasma,10-100,22641612
DPP4,ENSG00000197635,7.00E+08,Plasma,10-100,29587190
EDN1,ENSG00000078401,2.70E+04,Plasma,10-100,22641612
EDN3,ENSG00000124205,5.60E+04,Plasma,10-100,9595519
EGFR,ENSG00000146648,4.50E+06,Plasma,10-100,22641612
ELANE,ENSG00000197561,7.00E+07,Plasma,100+,31046673
EPO,ENSG00000130427,1.70E+04,Plasma,10-100,22641612
EREG,ENSG00000124882,4.10E+04,Plasma,10-100,22641612
ERFE,ENSG00000178752,2.80E+05,Plasma,100+,26496240
ESM1,ENSG00000164283,9.10E+05,Plasma,10-100,24108208
F12,ENSG00000131187,1.00E+06,Plasma,10-100,12215862
F2,ENSG00000180210,1.10E+11,Plasma,100+,10974339
F3,ENSG00000117525,7.70E+05,Plasma,01-Sep,22641612
F5,ENSG00000198734,7.00E+09,Plasma,10-100,7082847
F7,ENSG00000057593,3.60E+06,Plasma,100+,8427965
FAM3B,ENSG00000183844,4.00E+06,Plasma,100+,27181109
FAP,ENSG00000078098,1.10E+08,Plasma,100+,23932048
FAS,ENSG00000026103,1.20E+07,Plasma,10-100,22641612
FASLG,ENSG00000117560,1.00E+05,Plasma,10-100,19176318
FBN1,ENSG00000166147,5.10E+07,Plasma,10-100,31884007
FCN1,ENSG00000085265,3.00E+08,Plasma,10-100,25069872
FCN2,ENSG00000160339,1.20E+10,Plasma,100+,20937340
FCN3,ENSG00000142748,1.70E+10,Plasma,10-100,25069872
FGG,ENSG00000171557,2.50E+11,Plasma,100+,17263791
FGL1,ENSG00000104760,1.00E+08,Plasma,10-100,30580966
FGL2,ENSG00000127951,3.60E+07,Plasma,10-100,20615566
FLT4,ENSG00000037280,2.00E+07,Plasma,100+,22819208
FN1,ENSG00000115414,2.30E+11,Plasma,10-100,34768846
FST,ENSG00000134363,1.30E+06,Plasma,10-100,21350111
GAL,ENSG00000069482,1.90E+04,Plasma,10-100,24503374
GAS6,ENSG00000183087,9.90E+06,Plasma,100+,28150505
GCG,ENSG00000115263,2.30E+05,Plasma,10-100,22641612
GDF11,ENSG00000135414,5.20E+04,Plasma,10-100,30165829
GDF15,ENSG00000130513,1.40E+06,Plasma,100+,21536998
GDF2,ENSG00000263761,3.10E+05,Plasma,10-100,23271691
GH1,ENSG00000259384,3.30E+06,Plasma,10-100,22641612
GHRL,ENSG00000157017,7.40E+06,Plasma,10-100,27693487
GIP,ENSG00000159224,3.90E+04,Plasma,10-100,26895276
GNLY,ENSG00000115523,2.60E+06,Plasma,100+,17382591
GPLD1,ENSG00000112293,1.60E+11,Plasma,100+,27351175
GPX3,ENSG00000211445,2.20E+09,Plasma,10-100,18936159
GREM1,ENSG00000166923,3.50E+08,Plasma,10-100,25116393
GSN,ENSG00000148180,8.10E+10,Plasma,10-100,16495706
GUCA2B,ENSG00000044012,8.20E+04,Plasma,10-100,27108812
HABP2,ENSG00000148702,1.20E+10,Plasma,100+,22409238
HAMP,ENSG00000105697,1.90E+06,Plasma,100+,26252205
HBEGF,ENSG00000113070,1.60E+04,Plasma,10-100,9618289
HGF,ENSG00000019991,3.90E+06,Plasma,10-100,22641612
HGFAC,ENSG00000109758,4.90E+06,Plasma,10-100,16445520
HLA-G,ENSG00000204632,2.70E+07,Plasma,10-100,11169254
HP,ENSG00000257017,1.90E+08,Plasma,10-100,21296538
HPX,ENSG00000110169,7.50E+11,Plasma,01-Sep,16038022
HRG,ENSG00000113905,1.30E+11,Plasma,01-Sep,3958188
HTRA1,ENSG00000166033,1.20E+06,Plasma,10-100,23083999
IAPP,ENSG00000121351,1.20E+04,Plasma,10-100,2055340
IFNA2,ENSG00000188379,4.40E+05,Plasma,10-100,19403065
IGF1,ENSG00000017427,1.70E+08,Plasma,100+,10794477
IGF2,ENSG00000167244,5.30E+08,Plasma,100+,11597555
IGFALS,ENSG00000099769,1.60E+10,Plasma,100+,20142246
IGFBP2,ENSG00000115457,6.60E+07,Plasma,10-100,22641612
IGFBP3,ENSG00000146674,3.10E+09,Plasma,10-100,10203281
IGFBP4,ENSG00000141753,1.90E+08,Plasma,100+,11380497
IGFBP6,ENSG00000167779,1.40E+08,Plasma,100+,10468926
IL10,ENSG00000136634,6.60E+03,Plasma,10-100,22641612
IL11,ENSG00000095752,1.20E+04,Plasma,10-100,21986128
IL12B,ENSG00000113302,5.00E+04,Plasma,10-100,9325021
IL13,ENSG00000169194,9.80E+04,Plasma,10-100,21228779
IL15,ENSG00000164136,4.20E+05,Plasma,10-100,22641612
IL16,ENSG00000172349,3.00E+05,Plasma,10-100,22641612
IL17A,ENSG00000112115,2.00E+02,Plasma,10-100,28450958
IL18,ENSG00000150782,2.60E+05,Plasma,10-100,22641612
IL18BP,ENSG00000137496,9.20E+05,Plasma,10-100,19077159
IL19,ENSG00000142224,2.50E+05,Plasma,10-100,15557163
IL1A,ENSG00000115008,1.00E+04,Plasma,10-100,22641612
IL1B,ENSG00000125538,1.10E+03,Plasma,10-100,22641612
IL1R2,ENSG00000115590,1.00E+07,Plasma,01-Sep,22606320
IL1RL1,ENSG00000115602,2.20E+07,Plasma,10-100,27766733
IL1RN,ENSG00000136689,6.80E+05,Plasma,100+,9710237
IL2,ENSG00000109471,2.40E+03,Plasma,10-100,10488965
IL20,ENSG00000162891,2.00E+05,Plasma,10-100,26968800
IL22,ENSG00000127318,2.50E+05,Plasma,100+,28170163
IL24,ENSG00000162892,1.00E+05,Plasma,10-100,26968800
IL25,ENSG00000166090,3.00E+03,Plasma,01-Sep,22641612
IL27,ENSG00000197272,1.00E+06,Plasma,100+,24975574
IL3,ENSG00000164399,2.00E+02,Plasma,10-100,9476461
IL31,ENSG00000204671,1.90E+04,Plasma,10-100,29259273
IL32,ENSG00000008517,9.40E+04,Plasma,100+,27069296
IL37,ENSG00000125571,1.20E+05,Plasma,10-100,24733959
IL4,ENSG00000113520,1.80E+04,Plasma,10-100,22641612
IL5,ENSG00000113525,5.10E+03,Plasma,10-100,22641612
