Gene,ENSG_ID,Concentration,Sample_Type,Number_of_Samples,PubMed_ID
TGFB1,ENSG00000105329,3.7E6,Serum,100+,27380173
TGFB2,ENSG00000092969,5.9E5,Serum,10-100,10600222
TGFB2,ENSG00000092969,5.9E5,Serum,1-9,19128374
TGFB2,ENSG00000092969,1.4E7,Serum,10-100,19361465
TGFB3,ENSG00000119699,2.8E4,Serum,10-100,22641612
THPO,ENSG00000090534,3.9E4,Serum,100+,23913253
THPO,ENSG00000090534,4.4E4,Serum,10-100,24711916
THPO,ENSG00000090534,4.9E4,Serum,10-100,24976834
THPO,ENSG00000090534,2.7E6,Serum,10-100,22641612
TIMP1,ENSG00000102265,1.4E8,Serum,10-100,18197923
