Gene,ENSG_ID,Concentration,Sample_Type,Number_of_Samples,PubMed_ID
CSF3,ENSG00000108342,6.6E3,Serum,10-100,22641612
CSH1,ENSG00000136488,3.0E7,Serum,10-100,37743728
CST3,ENSG00000101439,1.0E9,Serum,10-100,22641612
CTSB,ENSG00000164733,2.5E9,Serum,10-100,26995190
CTSB,ENSG00000164733,4.2E6,Serum,10-100,31360581
CTSB,ENSG00000164733,1.4E7,Serum,10-100,18314113
CTSB,ENSG00000164733,7.5E7,Serum,10-100,27264724
CTSB,ENSG00000164733,2.4E7,Serum,10-100,15330217
CTSD,ENSG00000117984,2.7E9,Serum,10-100,26995190
CTSD,ENSG00000117984,4.2E6,Serum,10-100,31360581
CTSD,ENSG00000117984,2.0E8,Serum,10-100,27264724
CTSD,ENSG00000117984,1.3E8,Serum,10-100,36565119
CXCL1,ENSG00000163739,1.2E5,Serum,10-100,28638249
CXCL1,ENSG00000163739,6.2E5,Serum,10-100,22641612
CXCL10,ENSG00000169245,2.5E5,Serum,10-100,22641612
CXCL13,ENSG00000156234,4.4E4,Serum,10-100,29310341
CXCL13,ENSG00000156234,2.9E4,Serum,10-100,22641612
CXCL17,ENSG00000189377,4.0E8,Serum,10-100,33717172
CXCL2,ENSG00000081041,5.0E5,Serum,1-9,23372021
CXCL5,ENSG00000163735,2.2E6,Serum,10-100,22641612
CXCL6,ENSG00000124875,3.2E4,Serum,10-100,30157273
CXCL8,ENSG00000169429,1.0E4,Serum,10-100,22641612
CXCL9,ENSG00000138755,7.9E5,Serum,10-100,22641612
DEFA1,ENSG00000206047,1.1E8,Serum,10-100,34746027
EBI3,ENSG00000105246,2.0E5,Serum,10-100,29498905
EFNA1,ENSG00000169242,7.9E5,Serum,100+,38987376
EGFR,ENSG00000146648,5.0E6,Serum,10-100,22641612
ELANE,ENSG00000197561,2.4E8,Serum,10-100,21247478
EMC10,ENSG00000161671,1.0E6,Serum,10-100,36443308
EPO,ENSG00000130427,8.0E3,Serum,10-100,22641612
ERAP1,ENSG00000164307,3.5E6,Serum,10-100,35602060
EREG,ENSG00000124882,5.1E4,Serum,10-100,22641612
F3,ENSG00000117525,7.5E4,Serum,10-100,17469034
F3,ENSG00000117525,1.4E6,Serum,1-9,22641612
FAM3B,ENSG00000183844,1.5E5,Serum,10-100,28161382
FAS,ENSG00000026103,1.2E7,Serum,10-100,22641612
FASLG,ENSG00000117560,8.5E4,Serum,10-100,22706245
FASLG,ENSG00000117560,2.2E4,Serum,10-100,22641612
FCN1,ENSG00000085265,1.7E9,Serum,100+,23209787
FCN3,ENSG00000142748,1.8E10,Serum,10-100,28241035
FCRL5,ENSG00000143297,1.7E8,Serum,10-100,16681430
FETUB,ENSG00000090512,9.1E10,Serum,10-100,27628583
FETUB,ENSG00000090512,4.0E9,Serum,100+,29390354
FGA,ENSG00000171560,4.1E8,Serum,10-100,29719494
FGF19,ENSG00000162344,9.8E4,Serum,10-100,29438906
FGF19,ENSG00000162344,1.7E5,Serum,10-100,30334297
FGF21,ENSG00000105550,3.8E5,Serum,10-100,27313611
FGF21,ENSG00000105550,1.3E5,Serum,10-100,30334297
FGF23,ENSG00000118972,4.2E4,Serum,100+,29574933
FGF23,ENSG00000118972,7.1E4,Serum,10-100,30334297
FGFBP2,ENSG00000137441,4.4E8,Serum,100+,11342666
FGFBP2,ENSG00000137441,2.5E8,Serum,10-100,15898988
FGL2,ENSG00000127951,1.8E7,Serum,10-100,26515143
FLT1,ENSG00000102755,2.4E6,Serum,10-100,27658884
FLT1,ENSG00000102755,1.4E5,Serum,10-100,27799724
FLT1,ENSG00000102755,7.9E4,Serum,10-100,30116440
FLT3LG,ENSG00000090554,8.0E4,Serum,10-100,31648336
FOLR1,ENSG00000110195,4.0E5,Serum,10-100,24810481
FOLR1,ENSG00000110195,4.9E5,Serum,10-100,24810481
FOLR2,ENSG00000165457,4.0E6,Serum,10-100,30022370
FST,ENSG00000134363,1.4E6,Serum,10-100,39274528
GC,ENSG00000145321,1.2E11,Serum,10-100,24712573
GC,ENSG00000145321,7.0E10,Serum,10-100,26547217
GC,ENSG00000145321,2.4E11,Serum,100+,26832389
