markerdb_plasma_and_serum_biomarkers
P01009
P01308
P49767
Q14116
P05067
P16860
P08887
P01579
P45379
P19429
P00734
P05156
P12259
P04070
P07225
P02768
P24298
P05121
Q07325
Q86VB7
P22301
P01584
P01375
P07196
P30990
P01298
P00740
P08709
P00451
P00742
P03951
P00748
P01019
P01282
Q9UBU3
P01275
P69905
P12821
P00813
P02771
Q13219
P05062
P0DJI8
P01589
P15941
P61626
P17174
P02741
P02818
P01860
P02452
P03971
P09603
P04745
P06858
Q14508
Q8WXI7
P10645
P00450
P16109
P04278
P01034
P68871
P11413
P01350
P01185
P02649
P61769
P05186
P06276
Q969X2
P01258
P09871
P06681
P01024
P0C0L4
Q9UNI1
P02794
P19440
Q5SSJ5
P00338
Q03431
P02766
P01588
P01222
P01266
Q15661
P01008
P04114
P02647
P02786
A5A6I6
P01225
P0DN86
P01241
P41159
Q8WXL0
P02144
P01236
P07288
A0A140VK69
B2R7C7
Q13982
P06732
P04746
P07492
A2J1N6
Q9BYH9
P15309
P04271
P19474
P05455
P40225
P05543
Q9H227
P43251
P02745
P01031
P13671
P10643
P07360
P02748
P05060
P06280
Q8IWU4
P54315
P01023
P01344
Q9GZV9
P01583
P0C0L5
P09529
P08833
