Protein_CD8,Intensity_CD8,Protein_CD4,Intensity_CD4,Protein_Platelet,Intensity_Platelet,Protein_NK,Intensity_NK,Protein_Monocyte,Intensity_Monocyte,Protein_Erythrocyte,Intensity_Erythrocyte,Protein_B cell,Intensity_B cell,Protein_Macrophage,Intensity_Macrophage,Protein_DC,Intensity_DC,Protein_Basophil,Intensity_Basophil,Protein_Eosinophil,Intensity_Eosinophil,Protein_Neutrophil,Intensity_Neutrophil
A0A024R571,0.016708629,A0A024R161,0.000381476,P01024,0.181585745,A0A024R571,0.020828565,A0A024R161,0.001457237,H0YA55,0.543525289,A0A024R161,0.000124361,O75882-3,0.525099688,C9JC20,1.25E-08,P55854,3.64E-09,Q6P4F2,2.48E-09,Q9Y616,1.64E-09
A0A024RA87,0.023346304,A0A024R571,0.013580529,Q15149,0.442422184,A0A024RA87,0.027428092,A0A024R571,0.007362478,P35579,0.600969017,A0A024R571,0.01888304,O14678,0.532301438,B2RTY4,2.31E-08,P11831,4.26E-09,Q12979-2,9.55E-09,Q96FC9-2,5.95E-09
A0A075B6F3,3.55E-06,A0A024RA87,0.023842222,P35749,0.199214745,A0A075B6F3,0.000012,A0A024RA87,0.004692149,P35749,0.396974952,A0A024RA87,0.023384451,Q5QPE7,0.540411776,J3KSM4,2.48E-08,J3QSF7,0.000000013,Q04721,1.06E-08,P30480,6.58E-09
A0A075B759,0.004425116,A0A075B759,0.007362478,O75165,0.069003814,A0A075B759,0.005722133,A0A075B759,0.008010986,P16157,0.080256736,A0A075B6F3,0.00000286,O60563,0.543244935,P29622,2.53E-08,O95562,1.33E-08,Q9NZ01,1.52E-08,H0YF29,6.59E-09
A0A075B767,0.004119936,A0A075B767,0.006981003,A0A0A0MRA3,0.072962294,A0A075B767,0.005378805,A0A075B767,0.007438773,Q13813,0.386086925,A0A075B759,0.004806592,Q86UU1-3,0.543862509,Q9UIF8,2.59E-08,Q9BRA0,1.56E-08,P10176,1.72E-08,Q8IZ07,7.42E-09
A0A087WSV6,0.000285725,A0A087WSZ2,0.001159686,P54756,0.018540039,A0A087WSV6,0.00025597,A0A087WSV6,0.004844739,Q01484,0.07094202,A0A075B767,0.004577707,F8WE91,0.546033296,J3KQ34,2.83E-08,P30466,1.87E-08,Q4AE62,1.77E-08,Q08116,8.25E-09
A0A087WSW2,1.11E-06,A0A087WT20,0.001083391,Q09666,0.211298118,A0A087WSZ2,0.001899748,A0A087WSZ2,0.002159152,Q01082,0.388071443,A0A087WSV6,0.002056153,O60462-4,0.546795386,Q9Y4X0,2.84E-08,Q99674-5,2.33E-08,P22059,2.06E-08,A0A0C4DH38,9.81E-09
A0A087WSZ2,0.001121538,A0A087WT44,0.011711299,P07355,0.505658556,A0A087WT44,0.006942855,A0A087WT44,0.002006561,P69905,0.392362291,A0A087WSZ2,0.001140612,M0R0Q5,0.54798615,I3L468,3.28E-08,P02545-2,2.78E-08,Q4G0N4,2.07E-08,P51991-2,1.29E-08
A0A087WT20,0.001022354,A0A087WT57,0.003025101,P04114,0.229774909,A0A087WT57,0.000252918,A0A087WT65,0.000113298,P35527,0.731178374,A0A087WT20,0.000469215,E5RIH5,0.548772385,P50991,3.44E-08,Q9GZR7,2.82E-08,Q96LB3,2.75E-08,Q9NY61,1.34E-08
A0A087WT44,0.005416953,A0A087WT58,3.06E-05,P46379,0.069588364,A0A087WT65,0.000115206,A0A087WTJ2,0.002409317,P02730,0.095596517,A0A087WT44,0.0054551,Q0VF96-2,0.549271493,Q9Y265,0.000000039,A0A087WXE3,2.98E-08,P55854,2.76E-08,O43670,1.46E-08
A0A087WT57,0.002464332,A0A087WT65,0.000122072,P21333,0.608084673,A0A087WTJ2,0.003712815,A0A087WTZ4,0.002559701,P63267,0.880446248,A0A087WT57,0.000755322,H0Y398,0.551694805,C9J9B9,4.64E-08,Q5JUX0,3.03E-08,P02747,2.77E-08,P19113,1.55E-08
A0A087WT58,3.81E-08,A0A087WTJ2,0.00517144,P0C0L4,0.140132709,A0A087WTN9,0.0000832,A0A087WV05,0.001205463,P62736,0.886221014,A0A087WT65,0.000234607,O14974-4,0.551873958,P56278,4.78E-08,O14727,3.15E-08,P30305-4,2.83E-08,P68400,1.59E-08
A0A087WT65,0.000248722,A0A087WTN9,5.19E-05,Q14571,0.042777762,A0A087WTW5,0.0000058,A0A087WV17,0.004615854,G3V1N2,0.3079041,A0A087WTF0,0.000000801,Q96JM4-2,0.552321564,Q01628,4.93E-08,Q9H3T3,3.17E-08,P81877-4,2.98E-08,P31947,1.61E-08
A0A087WTJ2,0.003723392,A0A087WTW5,2.13E-05,P35580,0.434287451,A0A087WTZ4,0.005912871,A0A087WVT3,0.001186389,P68032,0.89480271,A0A087WTJ2,0.000650642,Q9NPI1-2,0.553520315,P04150,6.02E-08,Q99576,3.19E-08,Q14207,3.48E-08,P0CAP2,1.71E-08
A0A087WTN9,8.74E-05,A0A087WTZ4,0.011024643,P35579,0.600969017,A0A087WU35,0.0000109,A0A087WW23,0.015945678,P68133,0.845046752,A0A087WTN9,0.0000694,Q8WTW4,0.556063295,Q9BQC6,6.23E-08,P49685,0.000000034,Q6ICB0,3.73E-08,A0A087WTM7,1.73E-08
A0A087WTW5,2.17E-06,A0A087WV05,0.004031294,P0C0L5,0.28473352,A0A087WV05,0.002212558,A0A087WW40,0.004615854,P68871,0.426063326,A0A087WTZ4,0.002292668,Q86UP2-3,0.556092214,O43795,7.03E-08,P00395,3.47E-08,P30480,3.88E-08,Q8WXE9,1.78E-08
A0A087WTZ4,0.002349889,A0A087WVR3,0.000120587,Q9Y490,0.468131514,A0A087WV86,0.00000282,A0A087WWM0,0.005760281,P53396,0.323047217,A0A087WV05,0.003002213,O60307,0.559404356,Q13330-3,7.22E-08,Q13233,3.55E-08,Q7Z6J2,4.15E-08,E9PC69,1.83E-08
A0A087WU35,1.41E-05,A0A087WW23,0.007864907,P31327,0.040190037,A0A087WVH9,0.00000675,A0A087WX97,0.005569543,A0A0A0MSA4,0.099386766,A0A087WVD1,0.0000546,O60669,0.560988519,Q969K4,7.48E-08,Q92563,3.62E-08,P36969,4.16E-08,Q15118,1.96E-08
A0A087WUV0,1.07E-06,A0A087WW40,0.004921035,A0A0G2JPR0,0.28900649,A0A087WVT3,0.000332265,A0A087WXI2,0.0000866,P10809,0.510557274,A0A087WVD9,0.000364691,I3L172,0.561063088,O95297-3,7.72E-08,Q92611,3.66E-08,Q9UPN7,0.000000043,Q9H098,2.07E-08
A0A087WV05,0.004049645,A0A087WWM0,0.00701915,P16157,0.080256736,A0A087WVY5,0.00000572,A0A087WXL6,0.000965168,P07951,0.327928057,A0A087WVH9,0.00000294,P42167-2,0.563715925,P30480,9.02E-08,Q8N5Z5,3.97E-08,O00399,4.36E-08,O95562,2.09E-08
A0A087WVD1,0.000246546,A0A087WWV3,0.000234607,Q14204,0.362809075,A0A087WW23,0.006370642,A0A087WY31,0.001705196,P09493,0.296175782,A0A087WVT3,0.0000809,F8WD88,0.564397415,Q9UHQ1,9.05E-08,Q5BKY9,4.08E-08,P04062,4.49E-08,Q9BXB4,0.000000021
A0A087WVR3,0.000104365,A0A087WX97,0.002723735,P49327,0.41796435,A0A087WW40,0.002708476,A0A087WYT3,0.016250858,P04406,0.623853539,A0A087WVY5,0.0000108,A0A2R8Y7W5,0.564528805,Q9NX57,0.000000107,Q9BRR9-2,4.24E-08,Q9BQC6,4.55E-08,Q86Y97,2.15E-08
A0A087WVT3,9.99E-05,A0A087WXF8,0.000823987,P00450,0.118902327,A0A087WWD4,0.004577707,A0A087WYV9,0.000315963,Q9Y2J2,0.098671625,A0A087WW23,0.005531395,A0A0X1KG75,0.567633846,Q9UBK5,0.000000122,Q96JH7,4.36E-08,O75223,4.82E-08,K7EM38,2.15E-08
A0A087WVY5,3.61E-05,A0A087WXL6,0.000900953,Q14315,0.394847407,A0A087WWM0,0.006370642,A0A087WZQ7,0.000215571,P07237,0.420002503,A0A087WW40,0.003692683,A0A087WYW3,0.568518211,Q16739,0.000000123,Q15744,4.36E-08,Q96K12,4.91E-08,Q5VYY1,2.21E-08
A0A087WW23,0.009548252,A0A087WY31,0.001213092,P02751,0.358232171,A0A087WX97,0.00288777,A0A087WZV0,0.000808728,O15020,0.178874725,A0A087WWM0,0.005798428,Q9Y4G6,0.568520709,Q9UGP8,0.000000124,O75317,4.47E-08,Q9H9P8,5.01E-08,Q8NFD5,2.21E-08
A0A087WW40,0.003402762,A0A087WYB9,7.17E-06,Q13813,0.386086925,A0A087WXF8,0.000522621,A0A087X0D8,0.0000603,Q12955,0.100459478,A0A087WWV9,0.00000332,A0A0A0MRW1,0.569511917,P62807,0.000000128,P04233,4.58E-08,Q9BZG9-3,0.000000051,Q9Y2Q5,2.24E-08
A0A087WWD4,0.00047303,A0A087WYL5,5.65E-06,O75369,0.47306599,A0A087WXL6,0.001104874,A0A087X0H9,0.000296025,O14744,0.175656589,A0A087WX97,0.006218051,Q07283,0.569516918,Q99829,0.000000129,P62273,4.86E-08,Q96HL8,5.17E-08,P68371,2.25E-08
A0A087WWM0,0.0054551,A0A087WYT3,0.017967498,Q01484,0.07094202,A0A087WY31,0.00109102,A0A087X0I6,0.000098,P21980,0.179965316,A0A087WXA3,0.000000458,A0A494C0Y9,0.571926314,Q96KR1,0.000000131,Q8WWC4,5.18E-08,P09237,5.25E-08,O95297-3,2.28E-08
A0A087WWV3,0.000233845,A0A087WYV9,0.00021567,Q00610,0.46770243,A0A087WYL7,0.0000477,A0A087X0K8,0.0000423,P11142,0.720951853,A0A087WXD1,0.000686656,E7EVL6,0.57261706,Q99741,0.000000138,Q9BTA9,5.44E-08,Q8NI35,5.26E-08,Q8TB52,2.28E-08
A0A087WWV9,5.15E-06,A0A087WZ62,6.23E-05,A0A1X7SBR3,0.325371427,A0A087WYT3,0.014152743,A0A087X0N2,0.000917758,P35612,0.053135001,A0A087WXF8,0.000701915,B4DP61,0.573183494,P17174,0.000000139,Q9UIF8,5.46E-08,A0A075B738,5.57E-08,P25311,2.44E-08
A0A087WWZ6,1.18E-05,A0A087WZQ2,1.87E-05,Q01082,0.388071443,A0A087WZ40,0.0000323,A0A087X0N3,0.0000618,P11171,0.110721756,A0A087WXL6,0.001383194,J3KRN4,0.573772923,O95573,0.000000144,P13994,5.57E-08,Q8N2K0,5.61E-08,Q7Z6J4,2.48E-08
A0A087WX97,0.003704128,A0A087WZQ7,0.000278551,P69905,0.392362291,A0A087WZ62,0.000142344,A0A087X0W9,0.000965133,P78371,0.380276402,A0A087WY31,0.001235981,A0A494C0S2,0.573802984,Q7Z3D4,0.000000146,Q9GZX9,5.58E-08,Q9NVM4,5.75E-08,Q9P2E9-2,2.57E-08
A0A087WXF8,0.000926986,A0A087WZV0,0.000408179,Q5T4S7,0.227254036,A0A087WZE9,0.010872053,A0A087X1N8,0.013809415,Q9H4G0,0.110471457,A0A087WYB9,0.00000507,P78417-3,0.57477376,P08648,0.000000148,Q96GM5,0.000000057,Q92896,5.84E-08,P61956,0.000000026
A0A087WXI2,7.63E-08,A0A087X0D8,3.41E-05,P08603,0.195680546,A0A087WZQ2,0.0000576,A0A087X1S7,0.004158083,Q9UKX3,0.094577441,A0A087WYL7,0.000583658,Q8N292,0.575676701,Q8N954,0.000000148,B5MC53,5.78E-08,Q8IVS2,0.000000059,O00161,2.66E-08
A0A087WXK8,2.18E-05,A0A087X0H9,0.001579309,P35527,0.731178374,A0A087WZQ7,0.000535141,A0A087X256,0.001583124,P35611,0.166431266,A0A087WYT3,0.009994659,H0YLI7,0.575849435,H0Y9S9,0.000000152,Q9H3C7,5.97E-08,Q53HL2,5.97E-08,P06454,0.000000027
A0A087WXL6,0.001189285,A0A087X0I6,0.000145724,P02730,0.047919515,A0A087WZV0,0.000488289,A0A087X2D5,0.000431067,A0A5F9UN72,0.342910268,A0A087WYV9,0.000446828,H0Y5B4,0.575860709,Q02241,0.000000156,P54108,0.00000006,Q8WVK7,5.98E-08,P30740,2.71E-08
A0A087WXM4,0.000109483,A0A087X0N3,2.27E-05,Q13043,0.092253232,A0A087X018,0.0000126,A0A096LPE2,0.001121473,P0CG38,0.632399478,A0A087WZ40,0.00000671,Q13303,0.576792544,Q9H3S1,0.000000159,C9J9B9,0.000000061,Q8NBJ9,5.99E-08,Q8TEA7,2.72E-08
A0A087WY31,0.001441978,A0A087X0W9,0.000373465,P02787,0.282659611,A0A087X0H9,0.00109865,A0A0A0MQR2,0.000514992,Q14254,0.118177105,A0A087WZ62,0.000023,Q86X95,0.577533743,Q9H6L2,0.000000169,Q12864,6.26E-08,Q12789,6.11E-08,Q8NET5,0.000000028
A0A087WYB9,6.10E-06,A0A087X159,0.0004654,P04264,1,A0A087X0I6,0.0000744,A0A0A0MQS1,0.001346609,P23588,0.194911769,A0A087WZE9,0.001350423,A0A0C4DGT8,0.577711607,Q9UH03,0.000000171,Q9NZT2,6.35E-08,Q8NFQ8,6.51E-08,A0A087WVF8,2.87E-08
A0A087WYL7,0.001007095,A0A087X1B8,8.43E-05,P02788,0.100204368,A0A087X0N3,0.0000738,A0A0A0MT16,0.0000534,P49368,0.342356033,A0A087WZQ2,0.0000195,P0DJ93,0.578005917,Q9BSJ8-2,0.000000177,Q9NZN8,6.39E-08,O60830,6.86E-08,P55884,2.88E-08
A0A087WYT3,0.011062791,A0A087X1E4,0.000246433,Q7Z6Z7,0.279995709,A0A087X0W9,0.000461585,A0A0A0MT33,0.000273136,P54652,0.316487011,A0A087WZQ7,0.000501244,O14924-7,0.578082708,O15056,0.000000178,Q5S007,6.45E-08,Q14687,7.02E-08,P25445,3.17E-08
A0A087WYV9,0.000237288,A0A087X1N8,0.006179904,P02790,0.243308959,A0A087X159,0.000146487,A0A0A0MT64,0.00132372,P17987,0.334829171,A0A087WZV0,0.000633249,Q14669-3,0.578887598,Q9Y570,0.000000181,O95985,6.46E-08,Q9BWG4,7.22E-08,P17987,3.23E-08
A0A087WZ16,7.82E-06,A0A087X1S7,0.008278019,P63267,0.880446248,A0A087X1B8,0.000120546,A0A0A0MT83,0.001792935,P40227,0.342838754,A0A087X018,0.0000462,A0A0C4DFU7,0.579699996,Q6NXE6,0.000000181,Q08379,6.48E-08,Q3ZCM7,7.25E-08,Q8WY22,3.33E-08
A0A087WZ40,8.55E-06,A0A087X256,0.001209277,P62736,0.886221014,A0A087X1E4,0.0000694,A0A0A0MTJ9,0.001842527,Q562R1,0.631505551,A0A087X0H9,0.001758602,A0A0A0MRY2,0.580231785,Q6T4R5,0.000000187,P19113,6.57E-08,E7EPN9,7.41E-08,Q96DA2,3.36E-08
A0A087WZ62,0.000338024,A0A087X2D5,0.000747771,Q9NTI5,0.171294227,A0A087X1N8,0.014381628,A0A0A0MTN0,0.000671397,P0CG39,0.612482792,A0A087X0I6,0.0000645,Q96QP1-2,0.580311057,Q99459,0.00000019,Q6P1L5,7.03E-08,O15254,7.58E-08,Q16543,3.54E-08
A0A087WZE9,0.000751507,A0A0A0MQR2,0.001663233,G3V1N2,0.308279549,A0A087X1S7,0.004806592,A0A0A0MTR7,0.004501411,P27105,0.172223911,A0A087X0K8,0.00000229,Q9BQ90,0.580453328,P20472,0.000000195,Q6UB98,7.23E-08,Q9UKK9,7.61E-08,Q8IXQ3,3.66E-08
A0A087WZQ2,1.27E-05,A0A0A0MQS1,0.001297017,P18206,0.191383285,A0A087X256,0.000411994,A0A0A6YYG9,0.003440909,P50991,0.322922067,A0A087X0N3,0.0000248,J9JID3,0.580523282,H7BZB3,0.000000198,P22307,7.48E-08,Q7Z569,7.74E-08,Q96ST3,3.72E-08
A0A087WZQ7,0.00059105,A0A0A0MR39,0.000237847,P68032,0.89480271,A0A087X2D5,0.000238804,A0A0A6YYJ8,0.001185638,Q92835,0.071085048,A0A087X0W9,0.001960784,H0YLY3,0.580691946,Q9NUQ8,0.000000205,P62316,0.000000076,O00160,7.82E-08,Q96HD9,3.77E-08
A0A087WZV0,0.000556954,A0A0A0MRL7,0.001350423,Q9UKX2,0.099386766,A0A096LP39,0.0000108,A0A0A6YYL1,0.000213626,Q99832,0.33398888,A0A087X159,0.000269322,Q8IU68-2,0.580915624,Q96CB9,0.000000206,Q8NFD5,7.64E-08,G3V5P5,7.96E-08,Q9H479,3.79E-08
A0A087X018,9.35E-06,A0A0A0MS77,3.28E-06,P00751,0.18051955,A0A0A0MQR2,0.000518807,A0A0A6YYL4,0.003520013,Q00013,0.064505748,A0A087X1E4,0.000923171,Q8IYL2-3,0.581142819,O14818-2,0.000000206,Q8NEN9,7.69E-08,Q71RG4,7.99E-08,Q9H4L5-2,3.81E-08
A0A087X0H9,0.002357519,A0A0A0MSA7,0.000175655,P07996,0.283321116,A0A0A0MQS1,0.00078584,A0A0A6YYL6,0.003440909,J3KN67,0.338601541,A0A087X1N8,0.006294347,Q96EH3,0.582207863,Q9UBF8,0.000000207,O75324,8.01E-08,E9PC69,8.41E-08,P55056,3.97E-08
A0A087X0I6,0.000140383,A0A0A0MSS3,5.53E-05,Q9UBN7,0.023835333,A0A0A0MQW6,0.0000832,A0A0B4J269,0.006082937,P32119,0.39018111,A0A087X1S7,0.003208209,A0A0D9SFW0,0.5826939,P50613,0.000000209,Q8N201,8.21E-08,O94766,8.63E-08,Q9H6Q3,3.99E-08
A0A087X0N3,0.000102508,A0A0A0MT16,4.08E-05,P08238,0.328724017,A0A0A0MQY7,0.00000607,A0A0B4J2A2,0.009498741,P0CG47,0.521230758,A0A087X256,0.001434348,B1ALH6,0.582963076,P09913,0.000000211,Q01081,8.31E-08,Q8NHH9,8.72E-08,Q96RQ1,4.01E-08
A0A087X0W9,0.000755322,A0A0A0MT33,0.00085832,P42704,0.317862443,A0A0A0MR11,0.00000469,A0A0B4J2C3,0.022240024,P11908,0.145245204,A0A087X295,0.0000423,Q9P2M4,0.58307888,P12838,0.000000212,Q6ICB0,0.000000084,P10646,8.98E-08,Q96E14,4.21E-08
A0A087X159,0.00027657,A0A0A0MT35,0.001529717,P02538,0.656535498,A0A0A0MRL7,0.000136568,A0A0C4DFM0,0.004196231,P62258,0.460354353,A0A087X2D5,0.000667582,P38936,0.583334722,Q86U44,0.000000215,Q8WXH0,8.41E-08,P68036-3,0.00000009,P15884,4.27E-08
A0A087X169,6.33E-06,A0A0A0MT64,0.00288777,P15924,0.145226756,A0A0A0MS77,0.00000813,A0A0C4DFN3,0.000679026,P63104,0.479538019,A0A087X2F1,0.00026627,Q8NFH8-4,0.583350233,P36405,0.000000215,O14986,8.52E-08,Q9UPS6,9.03E-08,Q96MW1,0.000000043
A0A087X1B8,0.000210956,A0A0A0MT83,0.003322652,Q14624,0.101451847,A0A0A0MSA7,0.000157856,A0A0C4DFZ2,0.000637064,P08237,0.164124935,A0A087X2I7,0.00000675,J3QLK2,0.583632527,Q8IWX8,0.000000215,A6NFX1,8.52E-08,Q9H3T3,9.04E-08,O75528,4.52E-08
A0A087X1E4,0.000633249,A0A0A0MTE2,0.000186542,P12814,0.517100817,A0A0A0MSS3,0.0000174,A0A0C4DG49,0.001060502,Q9UKV8,0.094130478,A0A096LP39,0.0000114,Q96KR6,0.583848521,P35520,0.000000217,Q8WVL7,8.59E-08,Q8WY22,9.24E-08,Q9HB40,4.57E-08
A0A087X1N8,0.009460594,A0A0A0MTJ9,0.000323873,P12882,0.09897556,A0A0A0MSW5,0.00000462,A0A0C4DG89,0.001984927,J3QTR3,0.49743443,A0A096LP55,0.000161746,K7EJB8,0.583947144,Q96GS6,0.00000022,Q8WVK7,8.64E-08,P01854,9.52E-08,P17213,4.65E-08
A0A087X1S7,0.005569543,A0A0A0MTN0,0.004272526,P68133,0.845046752,A0A0A0MT16,0.0000446,A0A0D2X7Z3,0.0000151,P0DP23,0.304149608,A0A0A0MQR2,0.001365682,Q32NB8,0.584015266,Q06547,0.00000022,A6NHR9,8.67E-08,Q96AY4,9.64E-08,Q76FK4,4.66E-08
A0A087X256,0.000419623,A0A0A0MTR7,0.005843541,P05787,0.653960989,A0A0A0MT33,0.000686656,A0A0M3HER1,0.003707942,P61224,0.266604688,A0A0A0MQS1,0.00499733,F8VVC4,0.584217775,E7ETY2,0.000000231,Q96FQ6,8.75E-08,Q9UBB5,0.0000001,Q9HCE0,4.69E-08
A0A087X295,0.000113262,A0A0A6YYG9,0.006485084,Q9BVA1,0.339595972,A0A0A0MT35,0.000214008,A0A0R4J2E8,0.009651331,P0DP24,0.304864749,A0A0A0MQW6,0.00000927,Q7Z6P3,0.584311061,Q15744,0.000000232,P01130,8.77E-08,Q96DW6,0.0000001,Q9NSI2,4.84E-08
A0A087X2D5,0.000675875,A0A0A6YYJ8,0.00335999,P04259,0.789873599,A0A0A0MT64,0.001140612,A0A0S2Z5C6,0.000713359,P45974,0.239929916,A0A0A0MQY7,0.0000208,Q96RL1-2,0.584314045,P28715,0.000000235,Q8NHG8,8.87E-08,F8W726,0.000000101,P52434,4.87E-08
A0A087X2F1,0.000245289,A0A0A6YYL1,0.000591287,P35609,0.350008045,A0A0A0MT83,0.002498665,A0A1C7CYW4,0.00132372,P0DP25,0.304864749,A0A0A0MR11,0.00000191,Q8NI17-6,0.584810796,P13994,0.000000235,Q8IWJ2,0.00000009,O95772,0.000000101,Q13574-7,4.87E-08
A0A087X2I7,1.24E-05,A0A0A6YYL3,7.74E-06,P68363,0.756726798,A0A0A0MTJ9,0.000260929,A0A1X7SBR9,0.0000549,O75955,0.136377452,A0A0A0MR37,0.0000319,P52747,0.585380494,Q5MNZ6,0.000000237,Q9BXW9,9.02E-08,Q9Y5X2,0.000000102,Q9NYJ1,4.88E-08
A0A096LNH2,4.20E-07,A0A0A6YYL4,0.003055957,P46940,0.368744748,A0A0A0MTN0,0.002925917,A0A1X7SBS1,0.015678645,P0CG48,0.565605278,A0A0A0MR39,0.000243934,M0R3G1,0.585398257,Q13112,0.000000248,P53680,9.11E-08,O75563,0.000000105,Q92546,4.95E-08
A0A096LP39,1.45E-05,A0A0A6YYL6,0.005073625,P48668,0.69685159,A0A0A0MTR7,0.005989166,A0A1X7SCE1,0.001831083,Q08495,0.034541326,A0A0A0MRL7,0.001014725,A0A384DVK4,0.585438933,Q765P7,0.00000025,Q92831,9.22E-08,Q16880,0.000000106,P07307,0.00000005
A0A0A0MQR2,0.001808194,A0A0B4J1S8,6.45E-05,Q71U36,0.740743389,A0A0A0MTT2,0.00000958,A0A2C9F2M7,0.007095445,P55209,0.247242236,A0A0A0MS77,0.00000675,Q5T3U5-2,0.585615949,P15153,0.00000025,Q9ULE6,9.39E-08,Q14562,0.000000106,Q9BZ67,5.21E-08
A0A0A0MQS1,0.001464866,A0A0B4J1T8,9.12E-06,P69892,0.273917008,A0A0A6YYG9,0.009765774,A0A2C9F2P4,0.00686656,P11166,0.133499008,A0A0A0MSA7,0.000346111,Q96BY6-3,0.586256573,P0DJI8,0.000000254,Q04724,9.45E-08,Q96RL1,0.000000109,O75362,5.28E-08
A0A0A0MQW6,5.72E-06,A0A0B4J1V8,0.000204065,Q13885,0.652012229,A0A0A6YYJ8,0.001789577,A0A2Q3DQE3,0.001518273,P06702,0.142599181,A0A0A0MSS3,0.0000767,Q9UP95-2,0.586557325,Q9BTP6,0.000000255,Q8NE71,9.49E-08,Q9BUN1,0.000000109,Q9Y6R0,5.33E-08
A0A0A0MQY7,1.28E-05,A0A0B4J269,0.002164973,P07437,0.678597608,A0A0A6YYL1,0.000333028,A0A2R2Y2Q3,0.040970474,P23276,0.003557828,A0A0A0MSW5,0.000000305,Q5UIP0-2,0.587095368,Q96AE4-2,0.000000257,Q9BQC6,0.000000098,Q6NXE6,0.00000011,D6RAV6,5.38E-08
A0A0A0MR11,3.13E-06,A0A0B4J2A2,0.007820249,P07900,0.651547387,A0A0A6YYL3,0.0000196,A0A2U3TZI2,0.000234989,Q9C0C9,0.132229632,A0A0A0MT16,0.0000629,Q96EI5,0.587177777,Q8TAP6,0.000000258,Q9Y287,9.82E-08,Q9NP77,0.00000011,Q9NWX6,5.45E-08
A0A0A0MR39,0.00025545,A0A0B4J2C3,0.022201877,P08670,0.527595516,A0A0A6YYL4,0.00265177,A0A2U3TZJ3,0.000595102,P27348,0.403393346,A0A0A0MT33,0.000965133,H0YFN7,0.587179525,P30038,0.000000262,Q765P7,9.85E-08,P10720,0.000000114,P30305-4,5.53E-08
A0A0A0MRL7,0.000549325,A0A0C3SFZ9,0.000174997,P00747,0.088004656,A0A0A6YYL6,0.008201724,A0A2U3TZJ9,0.007095445,P12829,0.015411296,A0A0A0MT35,0.000148775,Q9Y6M4-3,0.587612437,Q8ND24,0.000000271,O60547,9.86E-08,Q9Y2G2-5,0.000000119,Q86YH6,5.64E-08
A0A0A0MRM2,2.21E-06,A0A0C4DFL8,0.000325109,Q8IY63,0.017663991,A0A0B4J1S7,0.000133898,A0A2U3TZL3,0.000907912,P60891,0.149553931,A0A0A0MT64,0.001773861,H0YCU9,0.587734954,Q9Y2K1,0.000000276,Q8IUF1,9.94E-08,Q9P0P0,0.000000119,Q9H4A6,5.71E-08
A0A0A0MS77,2.78E-06,A0A0C4DFM0,0.001480125,P68371,0.684586916,A0A0B4J1S8,0.00000885,A0A2U3TZM0,0.001548791,P62987,0.495074464,A0A0A0MT83,0.001712825,Q96N11-2,0.587875631,Q7Z3F1,0.000000276,Q9HBF4,0.0000001,Q9Y2V2,0.000000119,F5H5A1,5.72E-08
A0A0A0MSA7,0.000172527,A0A0C4DFN2,0.000119402,P35908,0.413776841,A0A0B4J1V8,0.000209897,A0A2U3TZM8,0.110933089,P29972,0.026102659,A0A0A0MTE2,0.0000755,J3KPC5,0.588341768,A0A087WZ08,0.000000278,Q9UPN6,0.000000101,Q09028-2,0.00000012,Q8WZ64,5.74E-08
A0A0A0MSK4,1.11E-06,A0A0C4DFT8,0.001224537,P69891,0.274042158,A0A0B4J1V9,0.00000237,A0A2U3TZU2,0.050583658,Q06323,0.238231455,A0A0A0MTJ9,0.001548791,P07438,0.588513303,Q15366-5,0.000000278,P62308,0.000000102,P50135,0.000000123,P62249,0.000000058
A0A0A0MSS3,0.000297932,A0A0C4DFW2,0.000659953,P13796,0.152459677,A0A0B4J269,0.004186261,A0A384DVL8,0.0000824,Q9UL18,0.07215776,A0A0A0MTN0,0.002979324,D6R9E3,0.588552459,O60443,0.000000279,Q9UHL4,0.000000102,Q8WVP5,0.000000123,Q02383,5.84E-08
A0A0A0MT16,2.87E-05,A0A0C4DFZ2,0.001112799,P19823,0.196467202,A0A0B4J2A2,0.006523232,A0A3B3IPE9,0.000210575,P17931,0.164303721,A0A0A0MTR7,0.002651255,Q14103-2,0.588802824,Q92688,0.000000281,O95297-3,0.000000103,O60293,0.000000125,Q68DH5,6.14E-08
A0A0A0MT33,0.001194018,A0A0C4DG89,0.003119821,Q9BQE3,0.751577781,A0A0B4J2C3,0.022201877,A0A3B3IQ51,0.00186923,Q16543,0.205495861,A0A0A0MTT2,0.00000549,Q6UXT9,0.589167766,Q6UWD8,0.000000287,Q9BRX8-2,0.000000107,Q13790,0.000000126,Q9Y2H6,6.15E-08
A0A0A0MT35,0.000862135,A0A0C4DG91,0.000234226,P02774,0.10394524,A0A0B4J2G0,0.00000477,A0A499FI31,0.002082856,P17980,0.244238643,A0A0A6YYG9,0.002399481,A0A2R8Y661,0.589507627,Q01518,0.00000029,P78362,0.000000107,P37268,0.000000126,Q14207,6.17E-08
A0A0A0MT64,0.001400015,A0A0C4DGB0,0.00061799,P04275,0.067214833,A0A0C3SFZ9,0.000236896,A0A499FI48,0.009079118,Q9UEY8,0.115513203,A0A0A6YYH1,0.0000373,E9PD53,0.590411877,Q8TAD8,0.000000291,P30038,0.000000109,P25208,0.000000127,Q29RF7,6.19E-08
