Protein_CD8,Intensity_CD8,Protein_CD4,Intensity_CD4,Protein_Platelet,Intensity_Platelet,Protein_NK,Intensity_NK,Protein_Monocyte,Intensity_Monocyte,Protein_Erythrocyte,Intensity_Erythrocyte,Protein_B cell,Intensity_B cell,Protein_Macrophage,Intensity_Macrophage,Protein_DC,Intensity_DC,Protein_Basophil,Intensity_Basophil,Protein_Eosinophil,Intensity_Eosinophil,Protein_Neutrophil,Intensity_Neutrophil
Q6PGP7,0.183029011,Q96RQ9,0.00077953,Q9UKJ1,0.000190289,Q8NEJ9,0.000172696,A6NEY8,0.0000035,,,Q8N3K9,0.0000226,A0A024R442,0.804294326,Q52LJ0-2,0.000199041,Q86W42,0.0000707,Q04760,0.0000697,P04207,0.0000421
Q6PH85,0.000263218,Q96RR1,1.33E-05,Q01543,0.000191259,Q8NEN9,0.0000695,O14613,0.00000351,,,Q8N3L3,0.0000153,C9JRZ6,0.804366989,Q9NVN8,0.000199271,Q5JQS6,0.0000707,Q96A26,0.0000697,P07437,0.0000421
Q6PHR2,0.202124131,Q96RR4,7.93E-05,E7ESA6,0.00019135,Q8NEP3,0.0000309,O15294-3,0.00000352,,,Q8N3P4,0.00029748,Q13043,0.804482473,P61978-2,0.000199416,Q96MH2,0.0000707,Q9NP55,0.0000697,Q92643,0.0000421
Q6PI26,0.259343852,Q96RS0,7.72E-05,Q96EC8,0.00019136,Q8NEP9,0.0000325,Q01105-2,0.00000352,,,Q8N3S3,0.0000427,E7ETK0,0.804558316,P34810,0.00019965,O43292,0.0000709,Q9ULR0-1,0.0000698,Q8NDX6,0.0000422
Q6PI47,0.198913542,Q96RS6,0.000783112,Q9UM11-2,0.000191473,Q8NEQ5,0.001622334,Q6PL24,0.00000353,,,Q8N3U4,0.003274459,A0A087X256,0.804563236,P12074,0.000199932,Q9BTE3,0.0000709,Q8NI08,0.0000699,Q5BKX5,0.0000422
Q6PI73,3.11E-05,Q96RT1,0.000618747,Q9H869-9,0.000191575,Q8NER1,0.0000021,Q9C086,0.00000354,,,Q8N3X1,0.002445258,Q9Y4E8,0.804605652,Q8NBT0-2,0.000200281,P04150-3,0.000071,P04206,0.00007,P10747,0.0000422
Q6PI78,0.149719335,Q96RT6,0.000196078,J3KNF8,0.000192072,Q8NER5,0.00000282,A0A0B4J2E8,0.00000355,,,Q8N3Y7,0.0000565,P62266,0.804608176,P54819,0.000200419,P35475,0.000071,H0Y4K8,0.00007,Q9GZY4,0.0000423
Q6PI98,0.207078965,Q96RT7,2.84E-05,Q9NZC9,0.000192581,Q8NEV1,0.00296025,Q6UWS5,0.00000356,,,Q8N3Z6,0.00000553,Q7L1Q6,0.804730483,Q7Z4K8,0.000200641,Q13093,0.000071,Q86SK9,0.0000701,Q4VC31,0.0000424
Q6PID6,0.212230177,Q96RU2,8.24E-05,O14519,0.000192892,Q8NEV8,0.00000626,Q15652-3,0.00000356,,,Q8N423,0.000595392,O94855,0.804764266,Q7Z7E8,0.000200737,A0A075B6K1,0.0000711,O76075,0.0000701,Q9UPY3,0.0000425
Q6PID8,3.64E-05,Q96RU3,0.005691582,Q9NVK5-2,0.000193242,Q8NEW0,0.000733755,P05015,0.00000357,,,Q8N442,0.0000669,P00492,0.804799774,Q15904,0.000201211,J3KTN0,0.0000715,Q9Y2K7,0.0000701,Q86V87,0.0000425
