ProteinName,SampleID,Condition,Ibaq,IbaqNorm,IbaqLog,IbaqPpb
Q96QV6,PXD009348-Sample-1,blood plasma,7.120513827409103,0.8167382997182532,9.912082921654735,81673829.97182532
Q9BRX8,PXD009348-Sample-1,blood plasma,1.5977179854805792,0.18326170028174682,9.263071711583763,18326170.028174683
Q96QV6,PXD009348-Sample-2,blood plasma,6.963095391452823,0.39330965856654343,9.594734611577934,39330965.856654346
Q14242,PXD009348-Sample-2,blood plasma,4.51127816136986,0.2548190386024392,9.406231872843426,25481903.86024392
Q92928,PXD009348-Sample-2,blood plasma,2.8324338888973823,0.15998970904836327,9.204092048610644,15998970.904836327
Q9NZH8,PXD009348-Sample-2,blood plasma,1.9324800497842685,0.10915591785519446,9.038047285827897,10915591.785519445
P12035,PXD009348-Sample-2,blood plasma,1.464562998286645,0.08272567592745957,8.917640324340402,8272567.592745957
Q96QV6,PXD009348-Sample-3,blood plasma,14.19938525208212,0.6504851884959637,9.813237412154015,65048518.849596374
Q9BRX8,PXD009348-Sample-3,blood plasma,3.258138857276947,0.1492579454037312,9.173937459085506,14925794.540373119
Q14242,PXD009348-Sample-3,blood plasma,2.9291887250854582,0.1341884769059329,9.127715223500392,13418847.690593291
P12035,PXD009348-Sample-3,blood plasma,1.44220118727763,0.0660683891943723,8.8199937184547,6606838.919437231
Q14242,PXD009348-Sample-4,blood plasma,4.6502161646524005,0.3118848011181125,9.493994211078503,31188480.11181125
Q92928,PXD009348-Sample-4,blood plasma,4.184185133516049,0.2806286206924238,9.448131961684936,28062862.069242377
Q96QV6,PXD009348-Sample-4,blood plasma,3.5502611022635677,0.23811204438484665,9.376781363811347,23811204.438484665
P16150,PXD009348-Sample-4,blood plasma,1.8181425053784688,0.12194078589392567,9.08614898967143,12194078.589392567
P12035,PXD009348-Sample-4,blood plasma,0.7072392771099187,0.04743374791069151,8.676087441173593,4743374.791069151
Q96QV6,PXD009348-Sample-5,blood plasma,10.947956901569995,0.5207149383180634,9.716600036934468,52071493.83180634
Q14242,PXD009348-Sample-5,blood plasma,4.51127816136986,0.2145687958633141,9.331566563996539,21456879.58633141
P16150,PXD009348-Sample-5,blood plasma,1.9038789598131451,0.09055371920417331,8.956906292272151,9055371.920417331
Q92928,PXD009348-Sample-5,blood plasma,1.4598983168706046,0.06943677883047805,8.841589565731274,6943677.883047805
Q9BRX8,PXD009348-Sample-5,blood plasma,1.4242046761634244,0.06773909111702704,8.830839365241768,6773909.111702704
P12035,PXD009348-Sample-5,blood plasma,0.7776395726036799,0.03698667666694427,8.56804531076801,3698667.6666944264
Q96QV6,PXD009348-Sample-6,blood plasma,10.790613123980654,0.5675452587486658,9.754000499946335,56754525.87486658
P16150,PXD009348-Sample-6,blood plasma,3.744293294758431,0.19693560341644753,9.294324238075738,19693560.341644753
Q14242,PXD009348-Sample-6,blood plasma,2.180398861283446,0.11468069716560328,9.059490324440597,11468069.716560328
Q9BRX8,PXD009348-Sample-6,blood plasma,1.5346840155334576,0.08071854923217421,8.9069733476525,8071854.923217421
P12035,PXD009348-Sample-6,blood plasma,0.7627906680578316,0.04011989143710921,8.603359749165723,4011989.1437109206
Q96QV6,PXD009348-Sample-7,blood plasma,10.533957050257234,0.5025451651985883,9.701175099157334,50254516.51985883
Q9NZH8,PXD009348-Sample-7,blood plasma,4.084310210179052,0.19485083710746573,9.28970227592482,19485083.71074657
Q14242,PXD009348-Sample-7,blood plasma,2.251235665329606,0.10740005811077363,9.031004516346606,10740005.811077364
P16150,PXD009348-Sample-7,blood plasma,1.888284970779324,0.09008471157181468,8.954651092384372,9008471.157181468
Q9BRX8,PXD009348-Sample-7,blood plasma,1.4739718426453314,0.07031900924089843,8.847072743120297,7031900.9240898425
P12035,PXD009348-Sample-7,blood plasma,0.7294548535209037,0.034800218770459364,8.541581974133496,3480021.8770459364
