ProteinName,SampleID,Condition,Ibaq,IbaqNorm,IbaqLog,IbaqPpb
Q8N122,PXD008467-Sample-1,blood plasma,0.19593638338678046,1.0,10.0,100000000.0
Q8N122,PXD008467-Sample-10,blood plasma,0.19420296724836583,1.0,10.0,100000000.0
Q8TBY8,PXD008467-Sample-100,blood plasma,0.20472498802620706,0.5337170517846431,9.727311078347295,53371705.178464316
Q7Z407,PXD008467-Sample-100,blood plasma,0.17885838698803994,0.4662829482153568,9.668649533765915,46628294.821535684
Q8TBY8,PXD008467-Sample-11,blood plasma,0.20715797469849923,1.0,10.0,100000000.0
Q8TBY8,PXD008467-Sample-12,blood plasma,0.192935283201673,1.0,10.0,100000000.0
Q8TBY8,PXD008467-Sample-13,blood plasma,0.17476167017411698,1.0,10.0,100000000.0
Q8TBY8,PXD008467-Sample-14,blood plasma,0.1981332512910111,1.0,10.0,100000000.0
Q8TBY8,PXD008467-Sample-15,blood plasma,0.19923687939438903,1.0,10.0,100000000.0
Q8TBY8,PXD008467-Sample-16,blood plasma,0.17919385759426806,1.0,10.0,100000000.0
Q8TBY8,PXD008467-Sample-17,blood plasma,0.19209129202370498,1.0,10.0,100000000.0
Q8TBY8,PXD008467-Sample-18,blood plasma,0.19656552336256952,1.0,10.0,100000000.0
Q8TBY8,PXD008467-Sample-19,blood plasma,0.19595041802219954,1.0,10.0,100000000.0
Q8N122,PXD008467-Sample-2,blood plasma,0.20180288339643385,1.0,10.0,100000000.0
Q8TBY8,PXD008467-Sample-20,blood plasma,0.20462228423267487,1.0,10.0,100000000.0
Q9UGU0,PXD008467-Sample-21,blood plasma,0.2890392304251402,1.0,10.0,100000000.0
Q9UGU0,PXD008467-Sample-22,blood plasma,0.27864667828909323,1.0,10.0,100000000.0
Q9UGU0,PXD008467-Sample-23,blood plasma,0.27177984518779036,1.0,10.0,100000000.0
Q9UGU0,PXD008467-Sample-24,blood plasma,0.284341517096758,1.0,10.0,100000000.0
Q9UGU0,PXD008467-Sample-25,blood plasma,0.28537449336024145,1.0,10.0,100000000.0
Q9UGU0,PXD008467-Sample-26,blood plasma,0.2324022050579018,1.0,10.0,100000000.0
Q9UGU0,PXD008467-Sample-27,blood plasma,0.2707385370106793,1.0,10.0,100000000.0
Q9UGU0,PXD008467-Sample-28,blood plasma,0.25759073588906334,1.0,10.0,100000000.0
Q9UGU0,PXD008467-Sample-29,blood plasma,0.25676206498715887,1.0,10.0,100000000.0
Q8N122,PXD008467-Sample-3,blood plasma,0.16646782279274744,1.0,10.0,100000000.0
Q9UGU0,PXD008467-Sample-30,blood plasma,0.28393211496464404,1.0,10.0,100000000.0
Q8TBY8,PXD008467-Sample-31,blood plasma,0.22551802983374972,0.7125826536416983,9.85283524613823,71258265.36416982
Q7Z407,PXD008467-Sample-31,blood plasma,0.09096178998957281,0.28741734635830174,9.45851297535129,28741734.635830175
Q8TBY8,PXD008467-Sample-32,blood plasma,0.2194610049605334,0.727490075518512,9.861827073016096,72749007.5518512
Q7Z407,PXD008467-Sample-32,blood plasma,0.0822077220033562,0.2725099244814881,9.435382323379853,27250992.44814881
Q8TBY8,PXD008467-Sample-33,blood plasma,0.20949704734128974,0.7335288795976947,9.865417217024586,73352887.95976947
Q7Z407,PXD008467-Sample-33,blood plasma,0.07610458767025716,0.26647112040230525,9.42565014796092,26647112.040230524
Q8TBY8,PXD008467-Sample-34,blood plasma,0.2226648238579032,0.7237970445189744,9.859616805420812,72379704.45189744
Q7Z407,PXD008467-Sample-34,blood plasma,0.08496951306576189,0.2762029554810256,9.441228321390453,27620295.548102558
Q8TBY8,PXD008467-Sample-35,blood plasma,0.22397212227940633,0.729861047577527,9.863240186128147,72986104.7577527
Q7Z407,PXD008467-Sample-35,blood plasma,0.08289741545354909,0.2701389524224729,9.431587211371552,27013895.242247287
Q8TBY8,PXD008467-Sample-36,blood plasma,0.1995114056275038,0.7363244031646129,9.867069194044689,73632440.3164613
Q7Z407,PXD008467-Sample-36,blood plasma,0.07144444585593666,0.26367559683538705,9.421069937718551,26367559.683538705
Q8TBY8,PXD008467-Sample-37,blood plasma,0.21717207664396068,0.7252781577587639,9.860504598587243,72527815.77587639
Q7Z407,PXD008467-Sample-37,blood plasma,0.08226073312803119,0.274721842241236,9.438893190136733,27472184.2241236
Q8TBY8,PXD008467-Sample-38,blood plasma,0.21786664059254182,0.7318894840520564,9.864445507165051,73188948.40520565
Q7Z407,PXD008467-Sample-38,blood plasma,0.07981032476886486,0.26811051594794355,9.428313848405102,26811051.594794355
Q8TBY8,PXD008467-Sample-39,blood plasma,0.21821404086003932,0.7300710959902309,9.863365154768095,73007109.59902309
Q7Z407,PXD008467-Sample-39,blood plasma,0.08068019294614225,0.26992890400976904,9.431249391336225,26992890.400976904
Q8N122,PXD008467-Sample-4,blood plasma,0.19584631141082154,1.0,10.0,100000000.0
Q8TBY8,PXD008467-Sample-40,blood plasma,0.22082525775898965,0.7094469512342623,9.850919926717284,70944695.12342623
Q7Z407,PXD008467-Sample-40,blood plasma,0.09043868857950443,0.2905530487657377,9.463225436839634,29055304.876573768
Q8TBY8,PXD008467-Sample-41,blood plasma,0.4714834998818302,0.5024689289929467,9.70110921159678,50246892.89929467
Q8N122,PXD008467-Sample-41,blood plasma,0.20482782928172813,0.21828891155880367,9.339031675374128,21828891.155880366
Q9UGU0,PXD008467-Sample-41,blood plasma,0.17257928175059478,0.1839210213916866,9.264631370089962,18392102.139168657
