gene	databases_count	databases_list
COL6A3	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
COMP	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CORO1A	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CPM	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CRHBP	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CRISP2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CRKL	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CRNN	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CRTAC1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CST3	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CST6	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CSTB	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CTSB	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CTSC	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CTSH	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CTSL	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CTSS	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CTSZ	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
DBI	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
DBNL	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
DCXR	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
DKK3	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
DPEP2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
DPP4	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
DPP7	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
DSC2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
DSG2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
EFEMP1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
EGFR	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ENG	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ENO1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
