gene	category
ITGB3	PeptideAtlas Superior
ITGB4	PeptideAtlas Superior
ITIH5	PeptideAtlas Superior
ITM2B	PeptideAtlas Superior
IVL	PeptideAtlas Superior
JAG1	PeptideAtlas Superior
JCHAIN	PeptideAtlas Superior
JUP	PeptideAtlas Superior
KALRN	PeptideAtlas Superior
KCTD12	PeptideAtlas Superior
KDR	PeptideAtlas Superior
KIAA0319L	PeptideAtlas Superior
KIT	PeptideAtlas Superior
KITLG	PeptideAtlas Superior
KLK6	PeptideAtlas Superior
KRT1	PeptideAtlas Superior
KRT2	PeptideAtlas Superior
KRT32	PeptideAtlas Superior
KRT33A	PeptideAtlas Superior
KRT78	PeptideAtlas Superior
KRT9	PeptideAtlas Superior
L1CAM	PeptideAtlas Superior
LAMA2	PeptideAtlas Superior
LAMA3	PeptideAtlas Superior
LAMA4	PeptideAtlas Superior
LAMA5	PeptideAtlas Superior
LAMB1	PeptideAtlas Superior
LAMB2	PeptideAtlas Superior
LAMC1	PeptideAtlas Superior
LAMP1	PeptideAtlas Superior
LAMP2	PeptideAtlas Superior
LAP3	PeptideAtlas Superior
LASP1	PeptideAtlas Superior
LCAT	PeptideAtlas Superior
LCN2	PeptideAtlas Superior
LCP1	PeptideAtlas Superior
LDHA	PeptideAtlas Superior
LDHB	PeptideAtlas Superior
LDLR	PeptideAtlas Superior
LECT2	PeptideAtlas Superior
LEPR	PeptideAtlas Superior
LGALS3	PeptideAtlas Superior
LGALS3BP	PeptideAtlas Superior
LGMN	PeptideAtlas Superior
LILRA2	PeptideAtlas Superior
LILRA3	PeptideAtlas Superior
LILRB1	PeptideAtlas Superior
LILRB5	PeptideAtlas Superior
LIPC	PeptideAtlas Superior
LIPG	PeptideAtlas Superior
LMAN1	PeptideAtlas Superior
LMAN2	PeptideAtlas Superior
LMNA	PeptideAtlas Superior
LMNB1	PeptideAtlas Superior
LPA	PeptideAtlas Superior
LPL	PeptideAtlas Superior
LRP1	PeptideAtlas Superior
LRP1B	PeptideAtlas Superior
LRP5	PeptideAtlas Superior
LRRC4B	PeptideAtlas Superior
LRRN1	PeptideAtlas Superior
LSAMP	PeptideAtlas Superior
LSP1	PeptideAtlas Superior
LSR	PeptideAtlas Superior
LTA4H	PeptideAtlas Superior
LTBP1	PeptideAtlas Superior
LTBP2	PeptideAtlas Superior
LTBP4	PeptideAtlas Superior
LY6G6F	PeptideAtlas Superior
LY75	PeptideAtlas Superior
LY96	PeptideAtlas Superior
LYPD3	PeptideAtlas Superior
LYVE1	PeptideAtlas Superior
LZIC	PeptideAtlas Superior
MADCAM1	PeptideAtlas Superior
MAN1A1	PeptideAtlas Superior
MAN1A2	PeptideAtlas Superior
MAN1B1	PeptideAtlas Superior
MAN1C1	PeptideAtlas Superior
MAN2A1	PeptideAtlas Superior
MAN2A2	PeptideAtlas Superior
MAN2B1	PeptideAtlas Superior
MAN2B2	PeptideAtlas Superior
MANBA	PeptideAtlas Superior
MANF	PeptideAtlas Superior
MANSC1	PeptideAtlas Superior
MAPK1	PeptideAtlas Superior
MAPRE1	PeptideAtlas Superior
MAPRE2	PeptideAtlas Superior
MARCKS	PeptideAtlas Superior
MARCO	PeptideAtlas Superior
MATR3	PeptideAtlas Superior
MBL2	PeptideAtlas Superior
MCAM	PeptideAtlas Superior
MCM4	PeptideAtlas Superior
MCM6	PeptideAtlas Superior
MDH1	PeptideAtlas Superior
MDH2	PeptideAtlas Superior
ME1	PeptideAtlas Superior
MEGF10	PeptideAtlas Superior
MEGF8	PeptideAtlas Superior
MEGF9	PeptideAtlas Superior
MELTF	PeptideAtlas Superior
MEPE	PeptideAtlas Superior
MERTK	PeptideAtlas Superior
MESD	PeptideAtlas Superior
MET	PeptideAtlas Superior
MGAT1	PeptideAtlas Superior
MGAT2	PeptideAtlas Superior
MGAT3	PeptideAtlas Superior
MGAT5	PeptideAtlas Superior
MGP	PeptideAtlas Superior
MINPP1	PeptideAtlas Superior
MLEC	PeptideAtlas Superior
MME	PeptideAtlas Superior
MMP19	PeptideAtlas Superior
MMP2	PeptideAtlas Superior
MMP3	PeptideAtlas Superior
MMP8	PeptideAtlas Superior
MMP9	PeptideAtlas Superior
MMRN1	PeptideAtlas Superior
MMRN2	PeptideAtlas Superior
MNDA	PeptideAtlas Superior
MOGS	PeptideAtlas Superior
MPIG6B	PeptideAtlas Superior
MPO	PeptideAtlas Superior
MRC1	PeptideAtlas Superior
MRC2	PeptideAtlas Superior
MSLN	PeptideAtlas Superior
MSN	PeptideAtlas Superior
MST1	PeptideAtlas Superior
MST1L	PeptideAtlas Superior
MSTN	PeptideAtlas Superior
MTPN	PeptideAtlas Superior
MTTP	PeptideAtlas Superior
MUC20	PeptideAtlas Superior
MUC5AC	PeptideAtlas Superior
MXRA5	PeptideAtlas Superior
MYDGF	PeptideAtlas Superior
MYH1	PeptideAtlas Superior
MYH7	PeptideAtlas Superior
MYH9	PeptideAtlas Superior
MYL6	PeptideAtlas Superior
MYLK	PeptideAtlas Superior
MYOC	PeptideAtlas Superior
NAGA	PeptideAtlas Superior
NAGLU	PeptideAtlas Superior
NAGPA	PeptideAtlas Superior
NASP	PeptideAtlas Superior
NBL1	PeptideAtlas Superior
NCAM1	PeptideAtlas Superior
NCAM2	PeptideAtlas Superior
NCK2	PeptideAtlas Superior
NCL	PeptideAtlas Superior
NDST1	PeptideAtlas Superior
NECTIN1	PeptideAtlas Superior
NECTIN2	PeptideAtlas Superior
NECTIN3	PeptideAtlas Superior
NEGR1	PeptideAtlas Superior
NELL2	PeptideAtlas Superior
NENF	PeptideAtlas Superior
NEO1	PeptideAtlas Superior
NEXN	PeptideAtlas Superior
NHERF1	PeptideAtlas Superior
NHLRC3	PeptideAtlas Superior
NIBAN2	PeptideAtlas Superior
NID1	PeptideAtlas Superior
NID2	PeptideAtlas Superior
NIF3L1	PeptideAtlas Superior
NME1	PeptideAtlas Superior
NOTCH1	PeptideAtlas Superior
NOTCH2	PeptideAtlas Superior
NOTCH3	PeptideAtlas Superior
NOTUM	PeptideAtlas Superior
NPC2	PeptideAtlas Superior
NPEPPS	PeptideAtlas Superior
NPPA	PeptideAtlas Superior
NRCAM	PeptideAtlas Superior
NRP1	PeptideAtlas Superior
NRP2	PeptideAtlas Superior
NRXN2	PeptideAtlas Superior
NSFL1C	PeptideAtlas Superior
NTM	PeptideAtlas Superior
NTRK2	PeptideAtlas Superior
NTRK3	PeptideAtlas Superior
NUTF2	PeptideAtlas Superior
OAF	PeptideAtlas Superior
OGN	PeptideAtlas Superior
OIT3	PeptideAtlas Superior
OLA1	PeptideAtlas Superior
OLFM1	PeptideAtlas Superior
OLFML2A	PeptideAtlas Superior
OLFML3	PeptideAtlas Superior
OMD	PeptideAtlas Superior
OPCML	PeptideAtlas Superior
ORM1	PeptideAtlas Superior
ORM2	PeptideAtlas Superior
OSCAR	PeptideAtlas Superior
OSMR	PeptideAtlas Superior
OTUB1	PeptideAtlas Superior
P4HB	PeptideAtlas Superior
PA2G4	PeptideAtlas Superior
PAICS	PeptideAtlas Superior
PAM	PeptideAtlas Superior
PAMR1	PeptideAtlas Superior
PAPLN	PeptideAtlas Superior
PARK7	PeptideAtlas Superior
PARP1	PeptideAtlas Superior
PARVB	PeptideAtlas Superior
PCBP1	PeptideAtlas Superior
PCDH1	PeptideAtlas Superior
PCDH12	PeptideAtlas Superior
PCDH18	PeptideAtlas Superior
PCDH9	PeptideAtlas Superior
PCDHAC2	PeptideAtlas Superior
PCDHGC3	PeptideAtlas Superior
PCMT1	PeptideAtlas Superior
PCOLCE	PeptideAtlas Superior
PCOLCE2	PeptideAtlas Superior
PCSK6	PeptideAtlas Superior
PCSK9	PeptideAtlas Superior
PCYOX1	PeptideAtlas Superior
PDCD1LG2	PeptideAtlas Superior
PDCD6IP	PeptideAtlas Superior
PDE5A	PeptideAtlas Superior
PDGFD	PeptideAtlas Superior
PDGFRA	PeptideAtlas Superior
PDGFRB	PeptideAtlas Superior
PDIA3	PeptideAtlas Superior
PDIA4	PeptideAtlas Superior
PDIA6	PeptideAtlas Superior
PDLIM1	PeptideAtlas Superior
PEA15	PeptideAtlas Superior
PEAR1	PeptideAtlas Superior
PEBP1	PeptideAtlas Superior
PEBP4	PeptideAtlas Superior
PECAM1	PeptideAtlas Superior
PEPD	PeptideAtlas Superior
PFN1	PeptideAtlas Superior
PGAM1	PeptideAtlas Superior
PGD	PeptideAtlas Superior
PGK1	PeptideAtlas Superior
PGM1	PeptideAtlas Superior
PHB1	PeptideAtlas Superior
PHB2	PeptideAtlas Superior
PI16	PeptideAtlas Superior
PIGR	PeptideAtlas Superior
PIK3IP1	PeptideAtlas Superior
PIP	PeptideAtlas Superior
PKHD1L1	PeptideAtlas Superior
PKLR	PeptideAtlas Superior
PKM	PeptideAtlas Superior
PLA2G15	PeptideAtlas Superior
PLA2G7	PeptideAtlas Superior
PLA2R1	PeptideAtlas Superior
PLBD1	PeptideAtlas Superior
PLEC	PeptideAtlas Superior
PLEK	PeptideAtlas Superior
PLIN3	PeptideAtlas Superior
PLOD1	PeptideAtlas Superior
PLOD3	PeptideAtlas Superior
PLS3	PeptideAtlas Superior
PLTP	PeptideAtlas Superior
PLXDC1	PeptideAtlas Superior
PLXDC2	PeptideAtlas Superior
PLXNA2	PeptideAtlas Superior
PLXNB1	PeptideAtlas Superior
PLXNB2	PeptideAtlas Superior
PLXND1	PeptideAtlas Superior
PM20D1	PeptideAtlas Superior
PMEL	PeptideAtlas Superior
PNLIP	PeptideAtlas Superior
PNP	PeptideAtlas Superior
PODN	PeptideAtlas Superior
PODXL	PeptideAtlas Superior
POMGNT1	PeptideAtlas Superior
PON1	PeptideAtlas Superior
PON3	PeptideAtlas Superior
POSTN	PeptideAtlas Superior
PPIB	PeptideAtlas Superior
PPP1R7	PeptideAtlas Superior
PRAP1	PeptideAtlas Superior
PRCP	PeptideAtlas Superior
PRDX2	PeptideAtlas Superior
PRDX4	PeptideAtlas Superior
PRDX5	PeptideAtlas Superior
PRDX6	PeptideAtlas Superior
PREP	PeptideAtlas Superior
PRF1	PeptideAtlas Superior
PRG2	PeptideAtlas Superior
PRG4	PeptideAtlas Superior
PRKAR1A	PeptideAtlas Superior
PRKCSH	PeptideAtlas Superior
PROCR	PeptideAtlas Superior
PROZ	PeptideAtlas Superior
PSAP	PeptideAtlas Superior
PSAT1	PeptideAtlas Superior
PSMA1	PeptideAtlas Superior
PSMA2	PeptideAtlas Superior
PSMA3	PeptideAtlas Superior
PSMA4	PeptideAtlas Superior
PSMA6	PeptideAtlas Superior
PSMA7	PeptideAtlas Superior
PSMB1	PeptideAtlas Superior
PSMB2	PeptideAtlas Superior
PSMB5	PeptideAtlas Superior
PSMB6	PeptideAtlas Superior
PSMB7	PeptideAtlas Superior
PSMB8	PeptideAtlas Superior
PSMD10	PeptideAtlas Superior
PSME1	PeptideAtlas Superior
PSME2	PeptideAtlas Superior
PTBP1	PeptideAtlas Superior
PTGDS	PeptideAtlas Superior
PTGES3	PeptideAtlas Superior
PTGFRN	PeptideAtlas Superior
PTK7	PeptideAtlas Superior
PTPA	PeptideAtlas Superior
PTPN6	PeptideAtlas Superior
PTPRB	PeptideAtlas Superior
PTPRC	PeptideAtlas Superior
PTPRD	PeptideAtlas Superior
PTPRF	PeptideAtlas Superior
PTPRG	PeptideAtlas Superior
PTPRJ	PeptideAtlas Superior
PTPRK	PeptideAtlas Superior
PTPRM	PeptideAtlas Superior
PTPRN2	PeptideAtlas Superior
PTPRS	PeptideAtlas Superior
PTPRZ1	PeptideAtlas Superior
PVR	PeptideAtlas Superior
PXDN	PeptideAtlas Superior
PYGL	PeptideAtlas Superior
QSOX1	PeptideAtlas Superior
QSOX2	PeptideAtlas Superior
RAB10	PeptideAtlas Superior
RAB14	PeptideAtlas Superior
RAB27B	PeptideAtlas Superior
RAB7A	PeptideAtlas Superior
RAD23A	PeptideAtlas Superior
RAD23B	PeptideAtlas Superior
RAN	PeptideAtlas Superior
RANBP1	PeptideAtlas Superior
RARRES2	PeptideAtlas Superior
RDX	PeptideAtlas Superior
RECK	PeptideAtlas Superior
REG1A	PeptideAtlas Superior
REG1B	PeptideAtlas Superior
RELN	PeptideAtlas Superior
RET	PeptideAtlas Superior
RETN	PeptideAtlas Superior
RGMA	PeptideAtlas Superior
RNASE1	PeptideAtlas Superior
RNASE2	PeptideAtlas Superior
RNASE4	PeptideAtlas Superior
RNASET2	PeptideAtlas Superior
RNH1	PeptideAtlas Superior
RNPEP	PeptideAtlas Superior
ROBO1	PeptideAtlas Superior
ROBO2	PeptideAtlas Superior
ROBO4	PeptideAtlas Superior
RPL6	PeptideAtlas Superior
RPL7	PeptideAtlas Superior
RPL7A	PeptideAtlas Superior
RPLP2	PeptideAtlas Superior
RPS11	PeptideAtlas Superior
RPS2	PeptideAtlas Superior
RPS7	PeptideAtlas Superior
RSU1	PeptideAtlas Superior
RTN4R	PeptideAtlas Superior
RTN4RL2	PeptideAtlas Superior
S100A4	PeptideAtlas Superior
SAA1	PeptideAtlas Superior
SBSN	PeptideAtlas Superior
SCARA3	PeptideAtlas Superior
SCARF1	PeptideAtlas Superior
SCG3	PeptideAtlas Superior
SCGB1A1	PeptideAtlas Superior
SCUBE3	PeptideAtlas Superior
SDK1	PeptideAtlas Superior
SDK2	PeptideAtlas Superior
SELE	PeptideAtlas Superior
SELENBP1	PeptideAtlas Superior
SELENOP	PeptideAtlas Superior
SELL	PeptideAtlas Superior
SELP	PeptideAtlas Superior
SEMA3A	PeptideAtlas Superior
SEMA3F	PeptideAtlas Superior
SEMA3G	PeptideAtlas Superior
SEMA4A	PeptideAtlas Superior
SEMA4B	PeptideAtlas Superior
SEMA4D	PeptideAtlas Superior
SEMA4G	PeptideAtlas Superior
SEMA6B	PeptideAtlas Superior
SEMA6C	PeptideAtlas Superior
SEMA7A	PeptideAtlas Superior
SERBP1	PeptideAtlas Superior
SERPINA1	PeptideAtlas Superior
SERPINA11	PeptideAtlas Superior
SERPINB1	PeptideAtlas Superior
SERPINB3	PeptideAtlas Superior
SERPINB4	PeptideAtlas Superior
SERPINE2	PeptideAtlas Superior
SEZ6L	PeptideAtlas Superior
SEZ6L2	PeptideAtlas Superior
SFRP4	PeptideAtlas Superior
SFTPB	PeptideAtlas Superior
SH3BGRL	PeptideAtlas Superior
SIAE	PeptideAtlas Superior
SIRPB1	PeptideAtlas Superior
SKAP2	PeptideAtlas Superior
SLC25A5	PeptideAtlas Superior
SLC38A10	PeptideAtlas Superior
SLC39A10	PeptideAtlas Superior
SLC3A2	PeptideAtlas Superior
SLPI	PeptideAtlas Superior
SMPDL3A	PeptideAtlas Superior
SNCA	PeptideAtlas Superior
SNED1	PeptideAtlas Superior
SOD2	PeptideAtlas Superior
SOD3	PeptideAtlas Superior
SORL1	PeptideAtlas Superior
SPARCL1	PeptideAtlas Superior
SPINK5	PeptideAtlas Superior
SPINT1	PeptideAtlas Superior
SPON1	PeptideAtlas Superior
SPP1	PeptideAtlas Superior
SPP2	PeptideAtlas Superior
SPTAN1	PeptideAtlas Superior
SPTB	PeptideAtlas Superior
SRGN	PeptideAtlas Superior
SSC5D	PeptideAtlas Superior
ST14	PeptideAtlas Superior
ST3GAL6	PeptideAtlas Superior
ST6GAL1	PeptideAtlas Superior
ST6GALNAC1	PeptideAtlas Superior
ST8SIA4	PeptideAtlas Superior
STAB1	PeptideAtlas Superior
STAB2	PeptideAtlas Superior
STC2	PeptideAtlas Superior
STIP1	PeptideAtlas Superior
STMN1	PeptideAtlas Superior
SULF2	PeptideAtlas Superior
SUMF1	PeptideAtlas Superior
SUSD2	PeptideAtlas Superior
SUSD5	PeptideAtlas Superior
SVEP1	PeptideAtlas Superior
SYTL4	PeptideAtlas Superior
TAGLN	PeptideAtlas Superior
TAGLN2	PeptideAtlas Superior
TALDO1	PeptideAtlas Superior
TCN1	PeptideAtlas Superior
TCN2	PeptideAtlas Superior
TCP1	PeptideAtlas Superior
TEK	PeptideAtlas Superior
TF	PeptideAtlas Superior
TFG	PeptideAtlas Superior
TFPI	PeptideAtlas Superior
TFRC	PeptideAtlas Superior
TGFB1	PeptideAtlas Superior
TGFBI	PeptideAtlas Superior
TGFBR3	PeptideAtlas Superior
TGM1	PeptideAtlas Superior
TGM3	PeptideAtlas Superior
TGOLN2	PeptideAtlas Superior
THBS1	PeptideAtlas Superior
THBS2	PeptideAtlas Superior
THBS3	PeptideAtlas Superior
THBS4	PeptideAtlas Superior
THOP1	PeptideAtlas Superior
THSD1	PeptideAtlas Superior
THSD7A	PeptideAtlas Superior
TIE1	PeptideAtlas Superior
TIMD4	PeptideAtlas Superior
TIMP1	PeptideAtlas Superior
TIMP2	PeptideAtlas Superior
TINAG	PeptideAtlas Superior
TJP2	PeptideAtlas Superior
TKT	PeptideAtlas Superior
TLL1	PeptideAtlas Superior
TLN1	PeptideAtlas Superior
TMEM132C	PeptideAtlas Superior
TNC	PeptideAtlas Superior
TNFAIP6	PeptideAtlas Superior
TNN	PeptideAtlas Superior
TNXB	PeptideAtlas Superior
TPD52L2	PeptideAtlas Superior
TPI1	PeptideAtlas Superior
TPM1	PeptideAtlas Superior
TPM3	PeptideAtlas Superior
TPM4	PeptideAtlas Superior
TPP1	PeptideAtlas Superior
TREH	PeptideAtlas Superior
TREML1	PeptideAtlas Superior
TREML2	PeptideAtlas Superior
TRHDE	PeptideAtlas Superior
TTN	PeptideAtlas Superior
TTR	PeptideAtlas Superior
TUBA4A	PeptideAtlas Superior
TUBB	PeptideAtlas Superior
TUBB1	PeptideAtlas Superior
TWF2	PeptideAtlas Superior
TXNDC15	PeptideAtlas Superior
TXNDC17	PeptideAtlas Superior
TXNDC5	PeptideAtlas Superior
TYMP	PeptideAtlas Superior
UBA1	PeptideAtlas Superior
UBE2L3	PeptideAtlas Superior
UBE2N	PeptideAtlas Superior
UGGT1	PeptideAtlas Superior
UGP2	PeptideAtlas Superior
UMOD	PeptideAtlas Superior
UROC1	PeptideAtlas Superior
USP14	PeptideAtlas Superior
UTRN	PeptideAtlas Superior
VASN	PeptideAtlas Superior
VASP	PeptideAtlas Superior
VAT1	PeptideAtlas Superior
VCAM1	PeptideAtlas Superior
VCAN	PeptideAtlas Superior
VCL	PeptideAtlas Superior
VCP	PeptideAtlas Superior
VIM	PeptideAtlas Superior
VMO1	PeptideAtlas Superior
VNN1	PeptideAtlas Superior
VSIG4	PeptideAtlas Superior
VWF	PeptideAtlas Superior
WARS1	PeptideAtlas Superior
WDR1	PeptideAtlas Superior
WDR44	PeptideAtlas Superior
WFIKKN2	PeptideAtlas Superior
XPNPEP2	PeptideAtlas Superior
XYLT2	PeptideAtlas Superior
YWHAB	PeptideAtlas Superior
YWHAE	PeptideAtlas Superior
YWHAG	PeptideAtlas Superior
YWHAH	PeptideAtlas Superior
YWHAQ	PeptideAtlas Superior
YWHAZ	PeptideAtlas Superior
ZG16	PeptideAtlas Superior
ZYX	PeptideAtlas Superior
ABCD3	QuantMS Superior
ABHD10	QuantMS Superior
ABHD11	QuantMS Superior
ABHD14A	QuantMS Superior
ABHD16A	QuantMS Superior
ABLIM1	QuantMS Superior
ABLIM3	QuantMS Superior
ABO	QuantMS Superior
ACADS	QuantMS Superior
ACADSB	QuantMS Superior
ACE2	QuantMS Superior
ACHE	QuantMS Superior
ACSL1	QuantMS Superior
ACSS2	QuantMS Superior
ADA	QuantMS Superior
ADAM11	QuantMS Superior
ADAM12	QuantMS Superior
ADAM19	QuantMS Superior
ADAM8	QuantMS Superior
ADAMTSL5	QuantMS Superior
ADCY6	QuantMS Superior
ADD1	QuantMS Superior
ADD2	QuantMS Superior
ADGRB2	QuantMS Superior
ADGRB3	QuantMS Superior
ADGRE1	QuantMS Superior
ADGRG1	QuantMS Superior
ADGRL1	QuantMS Superior
ADGRL2	QuantMS Superior
ADM	QuantMS Superior
ADPGK	QuantMS Superior
ADPRH	QuantMS Superior
ADPRS	QuantMS Superior
AGO2	QuantMS Superior
AGR3	QuantMS Superior
AIDA	QuantMS Superior
AK3	QuantMS Superior
ALDH1L1	QuantMS Superior
ALDH4A1	QuantMS Superior
ALDH6A1	QuantMS Superior
ALPI	QuantMS Superior
AMBN	QuantMS Superior
AMH	QuantMS Superior
AMOTL1	QuantMS Superior
AMPD3	QuantMS Superior
ANGPT2	QuantMS Superior
ANGPT4	QuantMS Superior
ANGPTL4	QuantMS Superior
ANGPTL8	QuantMS Superior
ANKFY1	QuantMS Superior
ANKRD28	QuantMS Superior
ANKS1A	QuantMS Superior
AP1S2	QuantMS Superior
AP3D1	QuantMS Superior
APPL1	QuantMS Superior
AQP1	QuantMS Superior
ARHGAP10	QuantMS Superior
ARHGAP15	QuantMS Superior
ARHGAP6	QuantMS Superior
ARHGEF1	QuantMS Superior
ARHGEF12	QuantMS Superior
ASAP1	QuantMS Superior
ASAP2	QuantMS Superior
ASGR1	QuantMS Superior
ASMTL	QuantMS Superior
ASPRV1	QuantMS Superior
ATG4A	QuantMS Superior
ATG4B	QuantMS Superior
ATG7	QuantMS Superior
ATG9A	QuantMS Superior
ATL1	QuantMS Superior
ATP1B2	QuantMS Superior
ATP1B4	QuantMS Superior
ATP2B4	QuantMS Superior
ATP5ME	QuantMS Superior
ATP6AP1	QuantMS Superior
ATP6AP2	QuantMS Superior
ATP6V1D	QuantMS Superior
ATP6V1E1	QuantMS Superior
AZU1	QuantMS Superior
B3GALNT1	QuantMS Superior
B3GALT6	QuantMS Superior
B3GAT3	QuantMS Superior
B4GALNT1	QuantMS Superior
BCAT1	QuantMS Superior
BMPER	QuantMS Superior
BPIFA1	QuantMS Superior
BPIFB2	QuantMS Superior
BST2	QuantMS Superior
BTK	QuantMS Superior
C1GALT1	QuantMS Superior
C1ORF198	QuantMS Superior
C2ORF88	QuantMS Superior
CA12	QuantMS Superior
CA13	QuantMS Superior
CAB39	QuantMS Superior
CACNA2D3	QuantMS Superior
CADM2	QuantMS Superior
CAMK2A	QuantMS Superior
CARHSP1	QuantMS Superior
CASP14	QuantMS Superior
CASP3	QuantMS Superior
CASP6	QuantMS Superior
CASS4	QuantMS Superior
CBR4	QuantMS Superior
CCDC47	QuantMS Superior
CCER2	QuantMS Superior
CCN1	QuantMS Superior
CD302	QuantMS Superior
CD40LG	QuantMS Superior
CD8A	QuantMS Superior
CD96	QuantMS Superior
CDCP1	QuantMS Superior
CDH15	QuantMS Superior
CDH4	QuantMS Superior
CDHR1	QuantMS Superior
CELSR1	QuantMS Superior
CEMIP2	QuantMS Superior
CERS2	QuantMS Superior
CHI3L2	QuantMS Superior
CHMP6	QuantMS Superior
CHST1	QuantMS Superior
CHST14	QuantMS Superior
CKMT1A	QuantMS Superior
CLCA2	QuantMS Superior
CLEC1B	QuantMS Superior
CLMP	QuantMS Superior
CLTA	QuantMS Superior
CMA1	QuantMS Superior
CMIP	QuantMS Superior
CMTM5	QuantMS Superior
CNRIP1	QuantMS Superior
CNST	QuantMS Superior
CNTN2	QuantMS Superior
COL10A1	QuantMS Superior
COL17A1	QuantMS Superior
COL24A1	QuantMS Superior
COL6A6	QuantMS Superior
COL7A1	QuantMS Superior
CORO7	QuantMS Superior
COX5A	QuantMS Superior
CPA3	QuantMS Superior
CPA4	QuantMS Superior
CPPED1	QuantMS Superior
CRABP2	QuantMS Superior
CRACD	QuantMS Superior
CRAT	QuantMS Superior
CREB3L3	QuantMS Superior
CRH	QuantMS Superior
CRISPLD1	QuantMS Superior
CRISPLD2	QuantMS Superior
CRYL1	QuantMS Superior
CRYZL1	QuantMS Superior
CSNK2A2	QuantMS Superior
CSRP3	QuantMS Superior
CST1	QuantMS Superior
CUL5	QuantMS Superior
CXCL17	QuantMS Superior
CZIB	QuantMS Superior
DAAM1	QuantMS Superior
DAP	QuantMS Superior
DAPP1	QuantMS Superior
DCTD	QuantMS Superior
DCTN3	QuantMS Superior
DCTN4	QuantMS Superior
DDRGK1	QuantMS Superior
DENND4C	QuantMS Superior
DERA	QuantMS Superior
DHRS11	QuantMS Superior
DLGAP4	QuantMS Superior
DLK1	QuantMS Superior
DMP1	QuantMS Superior
DNAJB2	QuantMS Superior
DNAJC5	QuantMS Superior
DNASE2	QuantMS Superior
DNM1	QuantMS Superior
DNM3	QuantMS Superior
DOK1	QuantMS Superior
DOK3	QuantMS Superior
DPP9	QuantMS Superior
DSG3	QuantMS Superior
DUSP23	QuantMS Superior
ECHDC1	QuantMS Superior
EHBP1L1	QuantMS Superior
EMILIN2	QuantMS Superior
ENDOU	QuantMS Superior
ENTPD4	QuantMS Superior
ENTPD6	QuantMS Superior
EPHB3	QuantMS Superior
EPN1	QuantMS Superior
EPS15	QuantMS Superior
EPS8L2	QuantMS Superior
EPX	QuantMS Superior
ERBIN	QuantMS Superior
ERMP1	QuantMS Superior
ERVH48-1	QuantMS Superior
ERVW-1	QuantMS Superior
ESM1	QuantMS Superior
FAM114A2	QuantMS Superior
FAM151A	QuantMS Superior
FAM162A	QuantMS Superior
FAM3B	QuantMS Superior
FAM3D	QuantMS Superior
FAT2	QuantMS Superior
FBN2	QuantMS Superior
FCER1G	QuantMS Superior
FGD3	QuantMS Superior
FGFBP1	QuantMS Superior
FGGY	QuantMS Superior
FKBP15	QuantMS Superior
FLRT2	QuantMS Superior
FNBP1L	QuantMS Superior
FNDC1	QuantMS Superior
FOLH1	QuantMS Superior
FRMD4B	QuantMS Superior
FRZB	QuantMS Superior
FTO	QuantMS Superior
FUT1	QuantMS Superior
FYN	QuantMS Superior
GABARAPL2	QuantMS Superior
GAL3ST4	QuantMS Superior
GALK1	QuantMS Superior
GALK2	QuantMS Superior
GALNT12	QuantMS Superior
GALNT14	QuantMS Superior
GALNT15	QuantMS Superior
GALNT18	QuantMS Superior
GALT	QuantMS Superior
GAMT	QuantMS Superior
GAS1	QuantMS Superior
GASK1A	QuantMS Superior
GCA	QuantMS Superior
GCNT1	QuantMS Superior
GGACT	QuantMS Superior
GINM1	QuantMS Superior
GIT1	QuantMS Superior
GLDN	QuantMS Superior
GLTPD2	QuantMS Superior
GMDS	QuantMS Superior
GMPR2	QuantMS Superior
GNA13	QuantMS Superior
GNAQ	QuantMS Superior
GNAZ	QuantMS Superior
GPC3	QuantMS Superior
GPD1L	QuantMS Superior
GRAP2	QuantMS Superior
GREM1	QuantMS Superior
GREM2	QuantMS Superior
GRK2	QuantMS Superior
GRK6	QuantMS Superior
GSDMD	QuantMS Superior
GSK3B	QuantMS Superior
GTPBP2	QuantMS Superior
GUCY1A1	QuantMS Superior
GYG1	QuantMS Superior
HAGH	QuantMS Superior
HBM	QuantMS Superior
HBQ1	QuantMS Superior
HDDC2	QuantMS Superior
HDHD3	QuantMS Superior
HEBP2	QuantMS Superior
HGF	QuantMS Superior
HHIP	QuantMS Superior
HIBCH	QuantMS Superior
HJV	QuantMS Superior
HK3	QuantMS Superior
HMGCL	QuantMS Superior
HMGCS2	QuantMS Superior
HPGDS	QuantMS Superior
HPS4	QuantMS Superior
HRC	QuantMS Superior
HS1BP3	QuantMS Superior
HSD17B1	QuantMS Superior
HSPB6	QuantMS Superior
HSPB7	QuantMS Superior
HTRA4	QuantMS Superior
HTT	QuantMS Superior
IGBP1	QuantMS Superior
IGF1R	QuantMS Superior
IGSF1	QuantMS Superior
IGSF21	QuantMS Superior
IL16	QuantMS Superior
IL17RC	QuantMS Superior
IL2RA	QuantMS Superior
IL4R	QuantMS Superior
INHBB	QuantMS Superior
INPP1	QuantMS Superior
INPP4B	QuantMS Superior
INPP5B	QuantMS Superior
IRAG2	QuantMS Superior
ISLR2	QuantMS Superior
ISM1	QuantMS Superior
ISM2	QuantMS Superior
ITGA8	QuantMS Superior
ITGAE	QuantMS Superior
ITGBL1	QuantMS Superior
ITPKB	QuantMS Superior
ITPRID2	QuantMS Superior
