gene	category
OTC	Low in Both
PARD3	Low in Both
PCCA	Low in Both
PCDH10	Low in Both
PCDH7	Low in Both
PCDHB15	Low in Both
PDLIM3	Low in Both
PGAM2	Low in Both
PIP4K2A	Low in Both
PIPOX	Low in Both
PKD1	Low in Both
PKP1	Low in Both
PLAUR	Low in Both
PLBD2	Low in Both
PLCG2	Low in Both
PLXNC1	Low in Both
PNLIPRP1	Low in Both
POF1B	Low in Both
PRELP	Low in Both
PRRT3	Low in Both
PSG2	Low in Both
PSG3	Low in Both
PSG4	Low in Both
PSG6	Low in Both
PSG8	Low in Both
PSMA5	Low in Both
PSMB10	Low in Both
PURA	Low in Both
RASA1	Low in Both
RCN1	Low in Both
RCN3	Low in Both
RCSD1	Low in Both
REG3A	Low in Both
RGMB	Low in Both
RPL22	Low in Both
RPL23A	Low in Both
RPL35A	Low in Both
RPS16	Low in Both
RPS20	Low in Both
RPS25	Low in Both
RPS3	Low in Both
RPS5	Low in Both
RPS9	Low in Both
S100A11	Low in Both
S100A12	Low in Both
S100A6	Low in Both
SARDH	Low in Both
SCLY	Low in Both
SCRN1	Low in Both
SDC1	Low in Both
SDC4	Low in Both
SDF4	Low in Both
SDHB	Low in Both
SEMA3D	Low in Both
SERPINB10	Low in Both
SERPINB12	Low in Both
SERPINB13	Low in Both
SERPINB9	Low in Both
SERPINE1	Low in Both
SIGLEC1	Low in Both
SIGLEC9	Low in Both
SLC44A2	Low in Both
SLITRK3	Low in Both
SLITRK4	Low in Both
SMPD1	Low in Both
SMPDL3B	Low in Both
SORT1	Low in Both
SPOCK2	Low in Both
SSR1	Low in Both
STK10	Low in Both
SUSD1	Low in Both
SYNE1	Low in Both
TATDN1	Low in Both
TBCA	Low in Both
TCTN3	Low in Both
TFR2	Low in Both
TGFBR2	Low in Both
THY1	Low in Both
TINAGL1	Low in Both
TMEM132D	Low in Both
TMEM132E	Low in Both
TMEM25	Low in Both
TNFRSF1A	Low in Both
TNFRSF1B	Low in Both
TNFSF13B	Low in Both
TNR	Low in Both
TP53I3	Low in Both
TWSG1	Low in Both
UBA7	Low in Both
UBE2O	Low in Both
UCHL1	Low in Both
UPB1	Low in Both
VEGFC	Low in Both
VLDLR	Low in Both
VWCE	Low in Both
WAS	Low in Both
WNK1	Low in Both
A2M	PeptideAtlas Superior
A2ML1	PeptideAtlas Superior
ABI3BP	PeptideAtlas Superior
ACACA	PeptideAtlas Superior
ACAN	PeptideAtlas Superior
ACE	PeptideAtlas Superior
ACLY	PeptideAtlas Superior
ACO1	PeptideAtlas Superior
ACP1	PeptideAtlas Superior
ACTN1	PeptideAtlas Superior
ACTN3	PeptideAtlas Superior
ACTN4	PeptideAtlas Superior
ACTR2	PeptideAtlas Superior
ACTR3	PeptideAtlas Superior
ACY1	PeptideAtlas Superior
ADA2	PeptideAtlas Superior
ADAM17	PeptideAtlas Superior
ADAM23	PeptideAtlas Superior
ADAMTS13	PeptideAtlas Superior
ADAMTS2	PeptideAtlas Superior
ADAMTSL1	PeptideAtlas Superior
ADAMTSL2	PeptideAtlas Superior
ADAMTSL4	PeptideAtlas Superior
ADGRA3	PeptideAtlas Superior
ADGRF5	PeptideAtlas Superior
ADGRG2	PeptideAtlas Superior
ADGRG6	PeptideAtlas Superior
ADGRL4	PeptideAtlas Superior
ADH1A	PeptideAtlas Superior
ADH1B	PeptideAtlas Superior
ADH4	PeptideAtlas Superior
ADH5	PeptideAtlas Superior
AEBP1	PeptideAtlas Superior
AGA	PeptideAtlas Superior
AGRN	PeptideAtlas Superior
AHCY	PeptideAtlas Superior
AHNAK	PeptideAtlas Superior
AHSP	PeptideAtlas Superior
AK1	PeptideAtlas Superior
AKAP12	PeptideAtlas Superior
AKR1A1	PeptideAtlas Superior
ALAD	PeptideAtlas Superior
ALCAM	PeptideAtlas Superior
ALDH1A1	PeptideAtlas Superior
ALDOA	PeptideAtlas Superior
ALDOB	PeptideAtlas Superior
ALDOC	PeptideAtlas Superior
ALG13	PeptideAtlas Superior
ALPL	PeptideAtlas Superior
ANGPTL3	PeptideAtlas Superior
ANGPTL6	PeptideAtlas Superior
ANK1	PeptideAtlas Superior
ANK2	PeptideAtlas Superior
ANKRD2	PeptideAtlas Superior
ANPEP	PeptideAtlas Superior
ANTXR1	PeptideAtlas Superior
ANTXR2	PeptideAtlas Superior
ANXA1	PeptideAtlas Superior
ANXA3	PeptideAtlas Superior
AOC3	PeptideAtlas Superior
APLP1	PeptideAtlas Superior
APLP2	PeptideAtlas Superior
APMAP	PeptideAtlas Superior
APOA5	PeptideAtlas Superior
APOC4	PeptideAtlas Superior
APOD	PeptideAtlas Superior
APOF	PeptideAtlas Superior
APP	PeptideAtlas Superior
ARHGAP1	PeptideAtlas Superior
ARHGDIA	PeptideAtlas Superior
ARHGDIB	PeptideAtlas Superior
ARMH4	PeptideAtlas Superior
ARPC2	PeptideAtlas Superior
ARPC3	PeptideAtlas Superior
ARPC4	PeptideAtlas Superior
ARPC5	PeptideAtlas Superior
ARSA	PeptideAtlas Superior
ART3	PeptideAtlas Superior
ART4	PeptideAtlas Superior
ASAH1	PeptideAtlas Superior
ASAH2	PeptideAtlas Superior
ASL	PeptideAtlas Superior
ASPN	PeptideAtlas Superior
ASS1	PeptideAtlas Superior
ATF6	PeptideAtlas Superior
ATF6B	PeptideAtlas Superior
ATIC	PeptideAtlas Superior
ATP1B1	PeptideAtlas Superior
ATP2A1	PeptideAtlas Superior
ATP5F1A	PeptideAtlas Superior
ATP5F1B	PeptideAtlas Superior
ATRN	PeptideAtlas Superior
ATRNL1	PeptideAtlas Superior
AXL	PeptideAtlas Superior
B3GNT2	PeptideAtlas Superior
B3GNT7	PeptideAtlas Superior
B3GNT8	PeptideAtlas Superior
B4GALT1	PeptideAtlas Superior
B4GAT1	PeptideAtlas Superior
BASP1	PeptideAtlas Superior
BCAM	PeptideAtlas Superior
BCHE	PeptideAtlas Superior
BGN	PeptideAtlas Superior
BHMT	PeptideAtlas Superior
BIN2	PeptideAtlas Superior
BLMH	PeptideAtlas Superior
BLVRB	PeptideAtlas Superior
BMP1	PeptideAtlas Superior
BMP10	PeptideAtlas Superior
BPGM	PeptideAtlas Superior
BPIFB1	PeptideAtlas Superior
BST1	PeptideAtlas Superior
C1QTNF3	PeptideAtlas Superior
C1QTNF5	PeptideAtlas Superior
C1RL	PeptideAtlas Superior
C4A	PeptideAtlas Superior
C4B	PeptideAtlas Superior
C5	PeptideAtlas Superior
CA3	PeptideAtlas Superior
CACNA2D1	PeptideAtlas Superior
CACNA2D2	PeptideAtlas Superior
CAD	PeptideAtlas Superior
CADM1	PeptideAtlas Superior
CALD1	PeptideAtlas Superior
CALML5	PeptideAtlas Superior
CALR	PeptideAtlas Superior
CAMP	PeptideAtlas Superior
CAND1	PeptideAtlas Superior
CANT1	PeptideAtlas Superior
CANX	PeptideAtlas Superior
CAP1	PeptideAtlas Superior
CAPG	PeptideAtlas Superior
CAPN1	PeptideAtlas Superior
CAPN2	PeptideAtlas Superior
CAPNS1	PeptideAtlas Superior
CAPZA1	PeptideAtlas Superior
CAPZA2	PeptideAtlas Superior
CAPZB	PeptideAtlas Superior
CAST	PeptideAtlas Superior
CAVIN2	PeptideAtlas Superior
CBLN1	PeptideAtlas Superior
CBLN4	PeptideAtlas Superior
CCDC126	PeptideAtlas Superior
CCL14	PeptideAtlas Superior
CCL16	PeptideAtlas Superior
CCL5	PeptideAtlas Superior
CCN2	PeptideAtlas Superior
CCT2	PeptideAtlas Superior
CCT3	PeptideAtlas Superior
CCT4	PeptideAtlas Superior
CCT7	PeptideAtlas Superior
CD109	PeptideAtlas Superior
CD163	PeptideAtlas Superior
CD177	PeptideAtlas Superior
CD1C	PeptideAtlas Superior
CD248	PeptideAtlas Superior
CD276	PeptideAtlas Superior
CD33	PeptideAtlas Superior
CD34	PeptideAtlas Superior
CD44	PeptideAtlas Superior
CD46	PeptideAtlas Superior
CD48	PeptideAtlas Superior
CD55	PeptideAtlas Superior
CD58	PeptideAtlas Superior
CD59	PeptideAtlas Superior
CD5L	PeptideAtlas Superior
CD84	PeptideAtlas Superior
CD9	PeptideAtlas Superior
CD93	PeptideAtlas Superior
CDC42	PeptideAtlas Superior
CDH1	PeptideAtlas Superior
CDH11	PeptideAtlas Superior
CDH13	PeptideAtlas Superior
CDH17	PeptideAtlas Superior
CDH19	PeptideAtlas Superior
CDH2	PeptideAtlas Superior
CDH23	PeptideAtlas Superior
CDH5	PeptideAtlas Superior
CDH6	PeptideAtlas Superior
CDHR2	PeptideAtlas Superior
CDHR5	PeptideAtlas Superior
CDON	PeptideAtlas Superior
CEACAM1	PeptideAtlas Superior
CELSR2	PeptideAtlas Superior
CEMIP	PeptideAtlas Superior
CES1	PeptideAtlas Superior
CES2	PeptideAtlas Superior
CETP	PeptideAtlas Superior
CFD	PeptideAtlas Superior
CFHR1	PeptideAtlas Superior
CFHR2	PeptideAtlas Superior
CFHR3	PeptideAtlas Superior
CFHR4	PeptideAtlas Superior
CFHR5	PeptideAtlas Superior
CFL1	PeptideAtlas Superior
CFP	PeptideAtlas Superior
CGREF1	PeptideAtlas Superior
CHAD	PeptideAtlas Superior
CHGA	PeptideAtlas Superior
CHGB	PeptideAtlas Superior
CHI3L1	PeptideAtlas Superior
CHID1	PeptideAtlas Superior
CHIT1	PeptideAtlas Superior
CHL1	PeptideAtlas Superior
CHRDL1	PeptideAtlas Superior
CHRDL2	PeptideAtlas Superior
CHST10	PeptideAtlas Superior
CHST12	PeptideAtlas Superior
CHST3	PeptideAtlas Superior
CILP	PeptideAtlas Superior
CILP2	PeptideAtlas Superior
CLCA4	PeptideAtlas Superior
CLIC1	PeptideAtlas Superior
CLSTN1	PeptideAtlas Superior
CMPK1	PeptideAtlas Superior
CNBP	PeptideAtlas Superior
CNN2	PeptideAtlas Superior
CNTFR	PeptideAtlas Superior
CNTN1	PeptideAtlas Superior
CNTN3	PeptideAtlas Superior
CNTN4	PeptideAtlas Superior
COL12A1	PeptideAtlas Superior
COL14A1	PeptideAtlas Superior
COL15A1	PeptideAtlas Superior
COL18A1	PeptideAtlas Superior
COL1A1	PeptideAtlas Superior
COL1A2	PeptideAtlas Superior
COL3A1	PeptideAtlas Superior
COL4A2	PeptideAtlas Superior
COL5A1	PeptideAtlas Superior
COL5A2	PeptideAtlas Superior
COL6A1	PeptideAtlas Superior
COL6A2	PeptideAtlas Superior
COL6A3	PeptideAtlas Superior
COL6A5	PeptideAtlas Superior
COLEC10	PeptideAtlas Superior
COLEC11	PeptideAtlas Superior
COLEC12	PeptideAtlas Superior
COMP	PeptideAtlas Superior
CORO1A	PeptideAtlas Superior
CORO1B	PeptideAtlas Superior
CORO1C	PeptideAtlas Superior
COTL1	PeptideAtlas Superior
CPA1	PeptideAtlas Superior
CPA2	PeptideAtlas Superior
CPAMD8	PeptideAtlas Superior
CPB1	PeptideAtlas Superior
CPD	PeptideAtlas Superior
CPE	PeptideAtlas Superior
CPM	PeptideAtlas Superior
CPQ	PeptideAtlas Superior
CPXM1	PeptideAtlas Superior
CR1	PeptideAtlas Superior
CR2	PeptideAtlas Superior
CRELD1	PeptideAtlas Superior
CRHBP	PeptideAtlas Superior
CRISP3	PeptideAtlas Superior
CRKL	PeptideAtlas Superior
CRTAC1	PeptideAtlas Superior
CRYZ	PeptideAtlas Superior
CSF1R	PeptideAtlas Superior
CSPG4	PeptideAtlas Superior
CSRP1	PeptideAtlas Superior
CST6	PeptideAtlas Superior
CSTA	PeptideAtlas Superior
CSTB	PeptideAtlas Superior
CTBS	PeptideAtlas Superior
CTSA	PeptideAtlas Superior
CTSB	PeptideAtlas Superior
CTSC	PeptideAtlas Superior
CTSF	PeptideAtlas Superior
CTSH	PeptideAtlas Superior
CTSL	PeptideAtlas Superior
CTSS	PeptideAtlas Superior
CTSW	PeptideAtlas Superior
CTSZ	PeptideAtlas Superior
CTTN	PeptideAtlas Superior
CXCL12	PeptideAtlas Superior
CYFIP2	PeptideAtlas Superior
DAG1	PeptideAtlas Superior
DBH	PeptideAtlas Superior
DBI	PeptideAtlas Superior
DBNL	PeptideAtlas Superior
DCBLD2	PeptideAtlas Superior
DCD	PeptideAtlas Superior
DCHS1	PeptideAtlas Superior
DCN	PeptideAtlas Superior
DCXR	PeptideAtlas Superior
DDR1	PeptideAtlas Superior
DDX21	PeptideAtlas Superior
DDX5	PeptideAtlas Superior
DHX9	PeptideAtlas Superior
DKK3	PeptideAtlas Superior
DLD	PeptideAtlas Superior
DMBT1	PeptideAtlas Superior
DMTN	PeptideAtlas Superior
DNAJC3	PeptideAtlas Superior
DNER	PeptideAtlas Superior
DPEP2	PeptideAtlas Superior
DPEP3	PeptideAtlas Superior
DPP3	PeptideAtlas Superior
DPP4	PeptideAtlas Superior
DPP7	PeptideAtlas Superior
DPT	PeptideAtlas Superior
DPYSL2	PeptideAtlas Superior
DSC1	PeptideAtlas Superior
DSC2	PeptideAtlas Superior
DSC3	PeptideAtlas Superior
DSG1	PeptideAtlas Superior
DSG2	PeptideAtlas Superior
ECI1	PeptideAtlas Superior
ECM1	PeptideAtlas Superior
ECM2	PeptideAtlas Superior
EEF1B2	PeptideAtlas Superior
EEF1G	PeptideAtlas Superior
EEF2	PeptideAtlas Superior
EFNA1	PeptideAtlas Superior
EFNB1	PeptideAtlas Superior
EGFR	PeptideAtlas Superior
EHD1	PeptideAtlas Superior
EHD3	PeptideAtlas Superior
EIF4G1	PeptideAtlas Superior
EMILIN1	PeptideAtlas Superior
ENDOD1	PeptideAtlas Superior
ENG	PeptideAtlas Superior
ENO1	PeptideAtlas Superior
ENO3	PeptideAtlas Superior
ENPEP	PeptideAtlas Superior
ENPP1	PeptideAtlas Superior
ENPP2	PeptideAtlas Superior
ENTPD5	PeptideAtlas Superior
EPB41	PeptideAtlas Superior
EPHA1	PeptideAtlas Superior
EPHA4	PeptideAtlas Superior
EPHB4	PeptideAtlas Superior
ERAP1	PeptideAtlas Superior
ERAP2	PeptideAtlas Superior
ERBB4	PeptideAtlas Superior
ERP44	PeptideAtlas Superior
ESAM	PeptideAtlas Superior
ESD	PeptideAtlas Superior
EXT1	PeptideAtlas Superior
EXT2	PeptideAtlas Superior
EXTL2	PeptideAtlas Superior
EZR	PeptideAtlas Superior
F11	PeptideAtlas Superior
F11R	PeptideAtlas Superior
F13A1	PeptideAtlas Superior
F5	PeptideAtlas Superior
