"Gene","Concentration","Database","Category","CellType","Dataset","Source_ID","Gene_Dataset"
"API5",7519840000,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","API5_PXD004352"
"API5",433566,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","API5_PXD025174"
"API5",30.8797548325,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","API5_PXD040957"
"APIP",488785125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APIP_PXD004352"
"APIP",20533,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","APIP_PXD025174"
"APIP",27.1140622125,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APIP_PXD040957"
"APLF",76482940.625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APLF_PXD004352"
"APLP2",1666662.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APLP2_PXD004352"
"APMAP",9443984375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APMAP_PXD004352"
"APMAP",564478,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","APMAP_PXD025174"
"APMAP",30.600713735,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APMAP_PXD040957"
"APOA1",59585106250,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOA1_PXD004352"
"APOA1",965047,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","APOA1_PXD025174"
"APOA1",33.8231366075,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APOA1_PXD040957"
"APOA1BP",1381933375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOA1BP_PXD004352"
"APOA1BP",109733,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","APOA1BP_PXD025174"
"APOA1BP",28.865228145,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APOA1BP_PXD040957"
"APOA2",14944653125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOA2_PXD004352"
"APOA2",208973,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","APOA2_PXD025174"
"APOA2",31.4330405975,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APOA2_PXD040957"
"APOA4",9672110937.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOA4_PXD004352"
"APOA4",37827,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","APOA4_PXD025174"
"APOA4",30.582464205,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APOA4_PXD040957"
"APOA5",15104708.4375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOA5_PXD004352"
"APOB",20542660000,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOB_PXD004352"
"APOB",21681,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","APOB_PXD025174"
"APOB",30.819338655,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APOB_PXD040957"
"APOBEC3A",2041687.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOBEC3A_PXD004352"
"APOBEC3B",197834612.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOBEC3B_PXD004352"
"APOBEC3B",10606,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","APOBEC3B_PXD025174"
"APOBEC3C",942936250,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOBEC3C_PXD004352"
"APOBEC3C",155995,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","APOBEC3C_PXD025174"
"APOBEC3C",26.718188105,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APOBEC3C_PXD040957"
"APOBEC3F",540408187.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOBEC3F_PXD004352"
"APOBEC3F",45745,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","APOBEC3F_PXD025174"
"APOBEC3F",25.0282848425,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APOBEC3F_PXD040957"
"APOBEC3G",2972012812.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOBEC3G_PXD004352"
"APOBEC3G",26.8675319275,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APOBEC3G_PXD040957"
"APOBEC3H",37306868.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOBEC3H_PXD004352"
"APOBR",925604968.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOBR_PXD004352"
"APOBR",24.907864005,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APOBR_PXD040957"
"APOC1",2833850531.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOC1_PXD004352"
"APOC1",132058,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","APOC1_PXD025174"
"APOC1",28.41104773,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APOC1_PXD040957"
"APOC2",27.958967165,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APOC2_PXD040957"
"APOC3",9750840625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOC3_PXD004352"
"APOC3",97089,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","APOC3_PXD025174"
"APOC3",31.1652918925,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APOC3_PXD040957"
"APOC4",53427375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOC4_PXD004352"
"APOD",2365540312.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOD_PXD004352"
"APOD",206768,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","APOD_PXD025174"
"APOD",28.2874415625,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APOD_PXD040957"
"APOE",4493941875,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOE_PXD004352"
"APOE",74341,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","APOE_PXD025174"
"APOE",29.3222069825,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APOE_PXD040957"
"APOF",426453506.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOF_PXD004352"
"APOF",25.97714075,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APOF_PXD040957"
"APOH",1816327812.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOH_PXD004352"
"APOH",38100,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","APOH_PXD025174"
"APOH",28.483150865,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APOH_PXD040957"
"APOL1",898322937.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOL1_PXD004352"
"APOL1",27.152484105,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APOL1_PXD040957"
"APOL2",719901781.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOL2_PXD004352"
"APOL2",188993,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","APOL2_PXD025174"
"APOL2",25.67973138,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APOL2_PXD040957"
"APOL3",555375475,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOL3_PXD004352"
"APOL3",39029,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","APOL3_PXD025174"
"APOL3",27.1520885225,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APOL3_PXD040957"
"APOL6",4577584.375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOL6_PXD004352"
"APOM",87509312.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOM_PXD004352"
"APOM",23.7356475966667,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APOM_PXD040957"
"APOO",186352562.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOO_PXD004352"
"APOO",20428,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","APOO_PXD025174"
"APOO",26.61798326,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APOO_PXD040957"
"APOOL",627492312.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APOOL_PXD004352"
"APOOL",28.1085974025,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APOOL_PXD040957"
"APP",17542050,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APP_PXD004352"
"APPBP2",1617050,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APPBP2_PXD004352"
"APPL1",892049718.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APPL1_PXD004352"
"APPL1",47948,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","APPL1_PXD025174"
"APPL1",27.55627031,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APPL1_PXD040957"
"APPL2",36914276.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APPL2_PXD004352"
"APRT",12477308750,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APRT_PXD004352"
"APRT",1416519,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","APRT_PXD025174"
"APRT",32.42100032,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APRT_PXD040957"
"APTX",161542943.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","APTX_PXD004352"
"APTX",21645,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","APTX_PXD025174"
"APTX",24.8718225575,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","APTX_PXD040957"
"AQR",2150309062.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","AQR_PXD004352"
"AQR",19206,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","AQR_PXD025174"
"AQR",29.2938954725,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","AQR_PXD040957"
"ARAF",564080531.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARAF_PXD004352"
"ARAF",6602,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARAF_PXD025174"
"ARAF",27.37870531,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARAF_PXD040957"
"ARAP1",927356000,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARAP1_PXD004352"
"ARAP1",17239,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARAP1_PXD025174"
"ARAP1",27.3706377625,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARAP1_PXD040957"
"ARAP2",183953812.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARAP2_PXD004352"
"ARAP2",4174,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARAP2_PXD025174"
"ARAP3",24513150,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARAP3_PXD004352"
"ARCN1",5317720312.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARCN1_PXD004352"
"ARCN1",29.9597382825,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARCN1_PXD040957"
"AREL1",8569100,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","AREL1_PXD004352"
"ARF1",12715253125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARF1_PXD004352"
"ARF1",31.40494739,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARF1_PXD040957"
"ARF4",1513807187.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARF4_PXD004352"
"ARF4",444667,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARF4_PXD025174"
"ARF4",27.1136705875,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARF4_PXD040957"
"ARF5",1235828750,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARF5_PXD004352"
"ARF5",307056,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARF5_PXD025174"
"ARF5",26.8043430925,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARF5_PXD040957"
"ARF6",1650674687.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARF6_PXD004352"
"ARF6",1259172,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARF6_PXD025174"
"ARF6",27.2547154325,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARF6_PXD040957"
"ARFGAP1",354623500,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARFGAP1_PXD004352"
"ARFGAP1",39018,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARFGAP1_PXD025174"
"ARFGAP1",25.582361135,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARFGAP1_PXD040957"
"ARFGAP2",787006375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARFGAP2_PXD004352"
"ARFGAP2",79421,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARFGAP2_PXD025174"
"ARFGAP2",26.9445060025,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARFGAP2_PXD040957"
"ARFGAP3",441872656.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARFGAP3_PXD004352"
"ARFGAP3",77926,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARFGAP3_PXD025174"
"ARFGAP3",25.99892255,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARFGAP3_PXD040957"
"ARFGEF1",1530803250,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARFGEF1_PXD004352"
"ARFGEF1",16705,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARFGEF1_PXD025174"
"ARFGEF1",28.0935751225,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARFGEF1_PXD040957"
"ARFGEF2",430795031.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARFGEF2_PXD004352"
"ARFGEF2",1856,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARFGEF2_PXD025174"
"ARFGEF2",26.73859021,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARFGEF2_PXD040957"
"ARFIP1",256261593.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARFIP1_PXD004352"
"ARFIP1",55780,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARFIP1_PXD025174"
"ARFIP1",25.17315271,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARFIP1_PXD040957"
"ARFIP2",102278625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARFIP2_PXD004352"
"ARFIP2",23.7347463725,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARFIP2_PXD040957"
"ARFRP1",121791718.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARFRP1_PXD004352"
"ARFRP1",9040,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARFRP1_PXD025174"
"ARFRP1",24.5878588775,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARFRP1_PXD040957"
"ARG1",64204981.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARG1_PXD004352"
"ARG1",22.188412195,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARG1_PXD040957"
"ARG2",82808206.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARG2_PXD004352"
"ARG2",14069,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARG2_PXD025174"
"ARGLU1",268321875,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARGLU1_PXD004352"
"ARGLU1",25.209201035,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARGLU1_PXD040957"
"ARHGAP1",4180750937.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGAP1_PXD004352"
"ARHGAP1",357624,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARHGAP1_PXD025174"
"ARHGAP1",30.0384253875,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARHGAP1_PXD040957"
"ARHGAP10",26097723.125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGAP10_PXD004352"
"ARHGAP11A",26701284.375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGAP11A_PXD004352"
"ARHGAP12",60577040.625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGAP12_PXD004352"
"ARHGAP12",22.8717925825,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARHGAP12_PXD040957"
"ARHGAP15",1080971875,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGAP15_PXD004352"
"ARHGAP15",121629,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARHGAP15_PXD025174"
"ARHGAP15",28.4526575725,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARHGAP15_PXD040957"
"ARHGAP17",1382301750,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGAP17_PXD004352"
"ARHGAP17",51804,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARHGAP17_PXD025174"
"ARHGAP17",28.26553055,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARHGAP17_PXD040957"
"ARHGAP18",336158093.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGAP18_PXD004352"
"ARHGAP18",16493,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARHGAP18_PXD025174"
"ARHGAP19",43700818.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGAP19_PXD004352"
"ARHGAP21",25097980,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGAP21_PXD004352"
"ARHGAP22",2594112.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGAP22_PXD004352"
"ARHGAP24",18854266,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGAP24_PXD004352"
"ARHGAP25",5532839062.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGAP25_PXD004352"
"ARHGAP25",29.9497734125,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARHGAP25_PXD040957"
"ARHGAP26",229040540.625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGAP26_PXD004352"
"ARHGAP26",23.8236746325,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARHGAP26_PXD040957"
"ARHGAP27",382654187.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGAP27_PXD004352"
"ARHGAP27",5508,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARHGAP27_PXD025174"
"ARHGAP27",26.8352395325,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARHGAP27_PXD040957"
"ARHGAP30",1795607000,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGAP30_PXD004352"
"ARHGAP30",80291,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARHGAP30_PXD025174"
"ARHGAP30",28.682971,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARHGAP30_PXD040957"
"ARHGAP31",227098209.375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGAP31_PXD004352"
"ARHGAP31",25.482554345,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARHGAP31_PXD040957"
"ARHGAP32",10722568.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGAP32_PXD004352"
"ARHGAP4",2835693125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGAP4_PXD004352"
"ARHGAP4",30.0143698175,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARHGAP4_PXD040957"
"ARHGAP5",40565528.125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGAP5_PXD004352"
"ARHGAP6",9100659.375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGAP6_PXD004352"
"ARHGAP9",1194705625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGAP9_PXD004352"
"ARHGAP9",116147,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARHGAP9_PXD025174"
"ARHGAP9",28.8363416175,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARHGAP9_PXD040957"
"ARHGDIA",7441695000,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGDIA_PXD004352"
"ARHGDIA",31.2300617475,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARHGDIA_PXD040957"
"ARHGDIB",28325287500,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGDIB_PXD004352"
"ARHGDIB",19678149,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARHGDIB_PXD025174"
"ARHGDIB",33.601029655,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARHGDIB_PXD040957"
"ARHGEF1",12468471875,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGEF1_PXD004352"
"ARHGEF1",512812,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARHGEF1_PXD025174"
"ARHGEF1",32.0330565975,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARHGEF1_PXD040957"
"ARHGEF10",17044875,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGEF10_PXD004352"
"ARHGEF10L",67916837.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGEF10L_PXD004352"
"ARHGEF11",2013768.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGEF11_PXD004352"
"ARHGEF12",25083411.5625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGEF12_PXD004352"
"ARHGEF18",1695771062.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGEF18_PXD004352"
"ARHGEF18",25.94961526,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARHGEF18_PXD040957"
"ARHGEF2",2564129687.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGEF2_PXD004352"
"ARHGEF2",81649,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARHGEF2_PXD025174"
"ARHGEF2",28.551156075,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARHGEF2_PXD040957"
"ARHGEF3",5602834.375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGEF3_PXD004352"
"ARHGEF40",33845409.375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGEF40_PXD004352"
"ARHGEF5",61695368.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGEF5_PXD004352"
"ARHGEF6",3253817500,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGEF6_PXD004352"
"ARHGEF6",199204,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARHGEF6_PXD025174"
"ARHGEF6",29.4339259525,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARHGEF6_PXD040957"
"ARHGEF7",903430625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARHGEF7_PXD004352"
"ARHGEF7",48758,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARHGEF7_PXD025174"
"ARHGEF7",28.1275325575,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARHGEF7_PXD040957"
"ARID1A",2062880312.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARID1A_PXD004352"
"ARID1A",20579,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARID1A_PXD025174"
"ARID1A",28.7319467275,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARID1A_PXD040957"
"ARID1B",447426500,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARID1B_PXD004352"
"ARID1B",2773,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARID1B_PXD025174"
"ARID1B",26.13204024,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARID1B_PXD040957"
"ARID2",431663875,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARID2_PXD004352"
"ARID2",5497,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARID2_PXD025174"
"ARID2",26.83597507,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARID2_PXD040957"
"ARID3A",23273936.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARID3A_PXD004352"
"ARID3B",282058750,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARID3B_PXD004352"
"ARID3B",11927,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARID3B_PXD025174"
"ARID3B",23.658501465,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARID3B_PXD040957"
"ARID4A",266191312.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARID4A_PXD004352"
"ARID4A",26.66536401,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARID4A_PXD040957"
"ARID4B",764658218.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARID4B_PXD004352"
"ARID4B",27.2756854025,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARID4B_PXD040957"
"ARID5A",39179887.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARID5A_PXD004352"
"ARID5B",27600905,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARID5B_PXD004352"
"ARIH1",911565781.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARIH1_PXD004352"
"ARIH1",14656,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARIH1_PXD025174"
"ARIH1",28.058489435,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARIH1_PXD040957"
"ARIH2",264441634.375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","ARIH2_PXD004352"
"ARIH2",3198,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","ARIH2_PXD025174"
"ARIH2",25.62050085,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","ARIH2_PXD040957"
