"Gene","Database","Category","CellType","Concentration","Dataset"
"ABLIM3","ProteomeXchange","CellType","CD8",15960231.25,"PXD004352"
"ABR","ProteomeXchange","CellType","CD8",580562218.75,"PXD004352,PXD025174,PXD040957"
"ABRACL","ProteomeXchange","CellType","CD8",4598695937.5,"PXD004352,PXD025174,PXD040957"
"ABT1","ProteomeXchange","CellType","CD8",344857625,"PXD004352,PXD025174,PXD040957"
"ABTB1","ProteomeXchange","CellType","CD8",6307525,"PXD004352"
"ABTB2","ProteomeXchange","CellType","CD8",33241191.5625,"PXD004352"
"ACAA1","ProteomeXchange","CellType","CD8",1376821593.75,"PXD004352,PXD025174,PXD040957"
"ACAA2","ProteomeXchange","CellType","CD8",15974265625,"PXD004352,PXD025174,PXD040957"
"ACACA","ProteomeXchange","CellType","CD8",614498000,"PXD004352,PXD040957"
"ACAD10","ProteomeXchange","CellType","CD8",53031025,"PXD004352,PXD025174,PXD040957"
"ACAD8","ProteomeXchange","CellType","CD8",1102553093.75,"PXD004352,PXD025174,PXD040957"
"ACAD9","ProteomeXchange","CellType","CD8",1798900312.5,"PXD004352,PXD025174,PXD040957"
"ACADM","ProteomeXchange","CellType","CD8",3694770625,"PXD004352,PXD040957"
"ACADS","ProteomeXchange","CellType","CD8",2814554687.5,"PXD004352,PXD025174,PXD040957"
"ACADSB","ProteomeXchange","CellType","CD8",1696970937.5,"PXD004352,PXD025174,PXD040957"
"ACADVL","ProteomeXchange","CellType","CD8",11970018750,"PXD004352,PXD025174,PXD040957"
"ACAP1","ProteomeXchange","CellType","CD8",4988563125,"PXD004352,PXD025174,PXD040957"
"ACAP2","ProteomeXchange","CellType","CD8",1155712875,"PXD004352,PXD025174,PXD040957"
"ACAP3","ProteomeXchange","CellType","CD8",22.2542887175,"PXD040957"
"ACAT1","ProteomeXchange","CellType","CD8",11834677500,"PXD004352,PXD025174,PXD040957"
"ACAT2","ProteomeXchange","CellType","CD8",3203850312.5,"PXD004352,PXD025174,PXD040957"
"ACBD3","ProteomeXchange","CellType","CD8",775929187.5,"PXD004352,PXD025174,PXD040957"
"ACBD4","ProteomeXchange","CellType","CD8",814096.875,"PXD004352"
