"Gene","Database","Category","CellType","Concentration","Dataset"
"CNTRL","ProteomeXchange","CellType","CD8",1379575000,"PXD004352,PXD040957"
"CNTROB","ProteomeXchange","CellType","CD8",94848237.5,"PXD004352,PXD040957"
"COA1","ProteomeXchange","CellType","CD8",31969212.5,"PXD004352,PXD040957"
"COA3","ProteomeXchange","CellType","CD8",331575031.25,"PXD004352,PXD040957"
"COA4","ProteomeXchange","CellType","CD8",142703703.125,"PXD004352,PXD040957"
"COA5","ProteomeXchange","CellType","CD8",69077781.25,"PXD004352,PXD040957"
"COA6","ProteomeXchange","CellType","CD8",217845750,"PXD004352,PXD025174,PXD040957"
"COA7","ProteomeXchange","CellType","CD8",69043412.5,"PXD004352"
"COASY","ProteomeXchange","CellType","CD8",864325750,"PXD004352,PXD025174,PXD040957"
"COBLL1","ProteomeXchange","CellType","CD8",71348418.75,"PXD004352"
"COG1","ProteomeXchange","CellType","CD8",204024184.375,"PXD004352,PXD040957"
"COG2","ProteomeXchange","CellType","CD8",227619593.75,"PXD004352,PXD025174,PXD040957"
"COG3","ProteomeXchange","CellType","CD8",304668968.75,"PXD004352,PXD025174,PXD040957"
"COG4","ProteomeXchange","CellType","CD8",261310031.25,"PXD004352,PXD025174,PXD040957"
"COG5","ProteomeXchange","CellType","CD8",182770687.5,"PXD004352,PXD025174,PXD040957"
"COG6","ProteomeXchange","CellType","CD8",255016937.5,"PXD004352,PXD040957"
"COG7","ProteomeXchange","CellType","CD8",386131656.25,"PXD004352,PXD025174,PXD040957"
"COG8","ProteomeXchange","CellType","CD8",126150925,"PXD004352,PXD040957"
"COIL","ProteomeXchange","CellType","CD8",222966562.5,"PXD004352,PXD025174,PXD040957"
"COL11A2","ProteomeXchange","CellType","CD8",14140906.25,"PXD004352"
"COL12A1","ProteomeXchange","CellType","CD8",101979981.25,"PXD004352"
"COL18A1","ProteomeXchange","CellType","CD8",12184575,"PXD004352"
"COL1A1","ProteomeXchange","CellType","CD8",32416712.5,"PXD004352"
"COL1A2","ProteomeXchange","CellType","CD8",3383939.6875,"PXD004352"
"COL2A1","ProteomeXchange","CellType","CD8",18307062.5,"PXD004352"
"COL4A2","ProteomeXchange","CellType","CD8",6975905.9375,"PXD004352"
"COL4A3BP","ProteomeXchange","CellType","CD8",294848750,"PXD004352,PXD025174,PXD040957"
"COL6A1","ProteomeXchange","CellType","CD8",43511812.5,"PXD004352"
"COL6A3","ProteomeXchange","CellType","CD8",14831627.5,"PXD004352"
"COL9A2","ProteomeXchange","CellType","CD8",4673953.125,"PXD004352"
"COLEC10","ProteomeXchange","CellType","CD8",3904187.5,"PXD004352"
"COLEC11","ProteomeXchange","CellType","CD8",284056.25,"PXD004352"
"COLGALT1","ProteomeXchange","CellType","CD8",417847459.375,"PXD004352,PXD040957"
"COMMD1","ProteomeXchange","CellType","CD8",280004496.875,"PXD004352,PXD040957"
"COMMD10","ProteomeXchange","CellType","CD8",201885762.5,"PXD004352,PXD025174,PXD040957"
"COMMD2","ProteomeXchange","CellType","CD8",295989375,"PXD004352,PXD025174,PXD040957"
"COMMD3","ProteomeXchange","CellType","CD8",25.713360845,"PXD040957"
"COMMD3-BMI1","ProteomeXchange","CellType","CD8",484007125,"PXD004352"
"COMMD4","ProteomeXchange","CellType","CD8",293716156.25,"PXD004352,PXD025174,PXD040957"
"COMMD5","ProteomeXchange","CellType","CD8",197099156.25,"PXD004352,PXD025174,PXD040957"
"COMMD6","ProteomeXchange","CellType","CD8",155654812.5,"PXD004352,PXD040957"
"COMMD7","ProteomeXchange","CellType","CD8",73968718.75,"PXD004352,PXD025174,PXD040957"
"COMMD8","ProteomeXchange","CellType","CD8",310782593.75,"PXD004352,PXD025174,PXD040957"
"COMMD9","ProteomeXchange","CellType","CD8",547184696.875,"PXD004352,PXD025174,PXD040957"
"COMP","ProteomeXchange","CellType","CD8",386468.75,"PXD004352"
"COMT","ProteomeXchange","CellType","CD8",1500360000,"PXD004352,PXD025174,PXD040957"
"COMTD1","ProteomeXchange","CellType","CD8",233307915.625,"PXD004352,PXD025174,PXD040957"
"COPA","ProteomeXchange","CellType","CD8",13825412500,"PXD004352,PXD025174,PXD040957"
"COPB1","ProteomeXchange","CellType","CD8",9463679375,"PXD004352,PXD025174,PXD040957"
"COPB2","ProteomeXchange","CellType","CD8",6808739687.5,"PXD004352,PXD025174,PXD040957"
"COPE","ProteomeXchange","CellType","CD8",3486451250,"PXD004352,PXD025174,PXD040957"
"COPG1","ProteomeXchange","CellType","CD8",9434355312.5,"PXD004352,PXD040957"
"COPG2","ProteomeXchange","CellType","CD8",992206500,"PXD004352,PXD025174,PXD040957"
"COPRS","ProteomeXchange","CellType","CD8",6706034.375,"PXD004352"
"COPS2","ProteomeXchange","CellType","CD8",2058659375,"PXD004352,PXD025174,PXD040957"
"COPS3","ProteomeXchange","CellType","CD8",1821629062.5,"PXD004352,PXD025174,PXD040957"
"COPS4","ProteomeXchange","CellType","CD8",2954532500,"PXD004352,PXD025174,PXD040957"
"COPS5","ProteomeXchange","CellType","CD8",1250553125,"PXD004352,PXD025174,PXD040957"
"COPS6","ProteomeXchange","CellType","CD8",1267762812.5,"PXD004352,PXD025174,PXD040957"
"COPS7A","ProteomeXchange","CellType","CD8",230334218.75,"PXD004352,PXD025174,PXD040957"
"COPS7B","ProteomeXchange","CellType","CD8",395652031.25,"PXD004352,PXD025174,PXD040957"
"COPS8","ProteomeXchange","CellType","CD8",698016093.75,"PXD004352,PXD025174,PXD040957"
"COPZ1","ProteomeXchange","CellType","CD8",1685664375,"PXD004352,PXD025174,PXD040957"
"COPZ2","ProteomeXchange","CellType","CD8",827887.5,"PXD004352"
"COQ10A","ProteomeXchange","CellType","CD8",7926615.625,"PXD004352"
"COQ10B","ProteomeXchange","CellType","CD8",98135909.375,"PXD004352,PXD040957"
"COQ3","ProteomeXchange","CellType","CD8",134781687.5,"PXD004352,PXD040957"
"COQ4","ProteomeXchange","CellType","CD8",22.57200355,"PXD040957"
"COQ5","ProteomeXchange","CellType","CD8",373632625,"PXD004352,PXD025174,PXD040957"
"COQ6","ProteomeXchange","CellType","CD8",459345843.75,"PXD004352,PXD025174,PXD040957"
"COQ7","ProteomeXchange","CellType","CD8",78901593.75,"PXD004352,PXD025174,PXD040957"
"COQ9","ProteomeXchange","CellType","CD8",217405928.125,"PXD004352,PXD040957"
"CORO1A","ProteomeXchange","CellType","CD8",91487500000,"PXD004352,PXD025174,PXD040957"
"CORO1B","ProteomeXchange","CellType","CD8",168014990.625,"PXD004352,PXD040957"
"CORO1C","ProteomeXchange","CellType","CD8",689820118.75,"PXD004352,PXD040957"
"CORO2A","ProteomeXchange","CellType","CD8",117410287.5,"PXD004352,PXD040957"
"CORO7","ProteomeXchange","CellType","CD8",5621713437.5,"PXD004352,PXD040957"
"COTL1","ProteomeXchange","CellType","CD8",10930642500,"PXD004352,PXD025174,PXD040957"
"COX11","ProteomeXchange","CellType","CD8",87816725,"PXD004352,PXD025174,PXD040957"
"COX15","ProteomeXchange","CellType","CD8",93493093.75,"PXD004352,PXD025174,PXD040957"
"COX17","ProteomeXchange","CellType","CD8",530867156.25,"PXD004352,PXD025174,PXD040957"
"COX18","ProteomeXchange","CellType","CD8",19376234.375,"PXD004352"
"COX19","ProteomeXchange","CellType","CD8",84167031.25,"PXD004352,PXD040957"
"COX20","ProteomeXchange","CellType","CD8",504149718.75,"PXD004352,PXD040957"
"COX4I1","ProteomeXchange","CellType","CD8",7982543750,"PXD004352,PXD025174,PXD040957"
"COX5A","ProteomeXchange","CellType","CD8",9189839062.5,"PXD004352,PXD025174,PXD040957"
"COX5B","ProteomeXchange","CellType","CD8",6766262500,"PXD004352,PXD025174,PXD040957"
"COX6A1","ProteomeXchange","CellType","CD8",546159312.5,"PXD004352,PXD025174"
"COX6B1","ProteomeXchange","CellType","CD8",2151199062.5,"PXD004352,PXD025174,PXD040957"
"COX6C","ProteomeXchange","CellType","CD8",1724285000,"PXD004352,PXD025174,PXD040957"
"COX7A2","ProteomeXchange","CellType","CD8",2920273125,"PXD004352,PXD025174,PXD040957"
"COX7A2L","ProteomeXchange","CellType","CD8",398904593.75,"PXD004352,PXD025174,PXD040957"
"COX7C","ProteomeXchange","CellType","CD8",1813773706.25,"PXD004352,PXD025174,PXD040957"
"COX8A","ProteomeXchange","CellType","CD8",10160585.625,"PXD004352,PXD040957"
"CP","ProteomeXchange","CellType","CD8",1015585125,"PXD004352,PXD040957"
"CPA3","ProteomeXchange","CellType","CD8",21954843.75,"PXD004352"
"CPA4","ProteomeXchange","CellType","CD8",508955.9375,"PXD004352"
"CPB2","ProteomeXchange","CellType","CD8",284553715.625,"PXD004352"
"CPD","ProteomeXchange","CellType","CD8",28728587.5,"PXD004352,PXD040957"
"CPEB4","ProteomeXchange","CellType","CD8",3476225,"PXD004352"
"CPM","ProteomeXchange","CellType","CD8",28908053.125,"PXD004352,PXD040957"
"CPN1","ProteomeXchange","CellType","CD8",10905187.5,"PXD004352"
"CPN2","ProteomeXchange","CellType","CD8",100510146.875,"PXD004352,PXD040957"
"CPNE1","ProteomeXchange","CellType","CD8",4778706562.5,"PXD004352,PXD025174,PXD040957"
"CPNE2","ProteomeXchange","CellType","CD8",148960712.5,"PXD004352"
"CPNE3","ProteomeXchange","CellType","CD8",4114098125,"PXD004352,PXD025174,PXD040957"
"CPNE6","ProteomeXchange","CellType","CD8",775187.5,"PXD004352"
"CPNE8","ProteomeXchange","CellType","CD8",24616484.375,"PXD004352"
"CPOX","ProteomeXchange","CellType","CD8",2382170000,"PXD004352,PXD025174,PXD040957"
"CPPED1","ProteomeXchange","CellType","CD8",532533260.625,"PXD004352,PXD025174,PXD040957"
"CPQ","ProteomeXchange","CellType","CD8",66180500,"PXD004352,PXD040957"
"CPS1","ProteomeXchange","CellType","CD8",3148946.875,"PXD004352"
"CPSF1","ProteomeXchange","CellType","CD8",2604884062.5,"PXD004352,PXD025174,PXD040957"
"CPSF2","ProteomeXchange","CellType","CD8",1689363125,"PXD004352,PXD025174,PXD040957"
"CPSF3","ProteomeXchange","CellType","CD8",1608865312.5,"PXD004352,PXD025174,PXD040957"
"CPSF3L","ProteomeXchange","CellType","CD8",353118906.25,"PXD004352,PXD025174,PXD040957"
"CPSF4","ProteomeXchange","CellType","CD8",635559937.5,"PXD004352,PXD025174,PXD040957"
"CPSF6","ProteomeXchange","CellType","CD8",3692101562.5,"PXD004352,PXD025174,PXD040957"
"CPSF7","ProteomeXchange","CellType","CD8",1370501250,"PXD004352,PXD025174,PXD040957"
"CPT1A","ProteomeXchange","CellType","CD8",2939394687.5,"PXD004352,PXD025174,PXD040957"
"CPT2","ProteomeXchange","CellType","CD8",1089039781.25,"PXD004352,PXD025174,PXD040957"
"CPTP","ProteomeXchange","CellType","CD8",30200453.125,"PXD004352"
"CPVL","ProteomeXchange","CellType","CD8",70205625,"PXD004352"
"CR1","ProteomeXchange","CellType","CD8",84563725,"PXD004352"
"CR2","ProteomeXchange","CellType","CD8",9513124.6875,"PXD004352"
"CRABP2","ProteomeXchange","CellType","CD8",1658500,"PXD004352"
"CRACR2A","ProteomeXchange","CellType","CD8",153645996.875,"PXD004352"
"CRADD","ProteomeXchange","CellType","CD8",80894375,"PXD004352,PXD025174"
"CRAT","ProteomeXchange","CellType","CD8",388364968.75,"PXD004352,PXD025174,PXD040957"
"CRBN","ProteomeXchange","CellType","CD8",184652687.5,"PXD004352,PXD040957"
"CRCP","ProteomeXchange","CellType","CD8",24.94528688,"PXD040957"
"CREB1","ProteomeXchange","CellType","CD8",665519656.25,"PXD004352,PXD025174,PXD040957"
"CREBBP","ProteomeXchange","CellType","CD8",469119843.75,"PXD004352,PXD040957"
"CREBRF","ProteomeXchange","CellType","CD8",23897206.25,"PXD004352,PXD040957"
"CREG1","ProteomeXchange","CellType","CD8",56818671.875,"PXD004352,PXD025174"
"CRELD1","ProteomeXchange","CellType","CD8",58244134.375,"PXD004352,PXD040957"
"CRELD2","ProteomeXchange","CellType","CD8",87239590.625,"PXD004352,PXD025174,PXD040957"
"CREM","ProteomeXchange","CellType","CD8",39839462.1875,"PXD004352,PXD025174"
"CRIM1","ProteomeXchange","CellType","CD8",2250428.125,"PXD004352"
"CRIP1","ProteomeXchange","CellType","CD8",3399561656.25,"PXD004352,PXD025174,PXD040957"
"CRIP2","ProteomeXchange","CellType","CD8",425442678.125,"PXD004352,PXD025174,PXD040957"
"CRIPT","ProteomeXchange","CellType","CD8",39611881.25,"PXD004352,PXD040957"
"CRISP3","ProteomeXchange","CellType","CD8",90253.75,"PXD004352"
"CRISPLD2","ProteomeXchange","CellType","CD8",6338855.625,"PXD004352"
"CRK","ProteomeXchange","CellType","CD8",50092671.875,"PXD004352,PXD025174"
"CRKL","ProteomeXchange","CellType","CD8",2739090625,"PXD004352,PXD025174,PXD040957"
"CRLF2","ProteomeXchange","CellType","CD8",390093.75,"PXD004352"
"CRLF3","ProteomeXchange","CellType","CD8",1498269437.5,"PXD004352,PXD025174,PXD040957"
"CRMP1","ProteomeXchange","CellType","CD8",2448656.25,"PXD004352,PXD025174"
"CRNKL1","ProteomeXchange","CellType","CD8",846321250,"PXD004352,PXD040957"
"CROCC","ProteomeXchange","CellType","CD8",2118666562.5,"PXD004352,PXD040957"
"CROT","ProteomeXchange","CellType","CD8",23386600,"PXD004352,PXD040957"
"CRTAC1","ProteomeXchange","CellType","CD8",17364328.125,"PXD004352,PXD040957"
"CRTAM","ProteomeXchange","CellType","CD8",12840687.5,"PXD004352"
"CRTAP","ProteomeXchange","CellType","CD8",516833343.75,"PXD004352,PXD040957"
"CRTC1","ProteomeXchange","CellType","CD8",33350362.5,"PXD004352,PXD040957"
"CRTC2","ProteomeXchange","CellType","CD8",186633906.25,"PXD004352,PXD025174,PXD040957"
"CRTC3","ProteomeXchange","CellType","CD8",195464378.125,"PXD004352,PXD025174,PXD040957"
"CRYBG3","ProteomeXchange","CellType","CD8",36025826.875,"PXD004352"
"CRYL1","ProteomeXchange","CellType","CD8",613311093.75,"PXD004352,PXD040957"
"CRYM","ProteomeXchange","CellType","CD8",48405668.75,"PXD004352"
"CRYZ","ProteomeXchange","CellType","CD8",4483828437.5,"PXD004352,PXD025174,PXD040957"
"CRYZL1","ProteomeXchange","CellType","CD8",260349562.5,"PXD004352,PXD025174,PXD040957"
"CS","ProteomeXchange","CellType","CD8",15152356250,"PXD004352,PXD025174,PXD040957"
"CSDE1","ProteomeXchange","CellType","CD8",4063065625,"PXD004352,PXD040957"
"CSE1L","ProteomeXchange","CellType","CD8",50479100000,"PXD004352,PXD025174,PXD040957"
"CSF1","ProteomeXchange","CellType","CD8",2816346.875,"PXD004352"
"CSF1R","ProteomeXchange","CellType","CD8",4244135.9375,"PXD004352"
"CSF2RA","ProteomeXchange","CellType","CD8",38573715.625,"PXD004352"
"CSF2RB","ProteomeXchange","CellType","CD8",4661831.25,"PXD004352"
"CSF3R","ProteomeXchange","CellType","CD8",2535293.75,"PXD004352"
"CSGALNACT1","ProteomeXchange","CellType","CD8",2169093.75,"PXD004352"
"CSGALNACT2","ProteomeXchange","CellType","CD8",30378603.125,"PXD004352,PXD025174"
"CSK","ProteomeXchange","CellType","CD8",8063447812.5,"PXD004352,PXD025174,PXD040957"
"CSNK1A1","ProteomeXchange","CellType","CD8",799660000,"PXD004352,PXD040957"
"CSNK1D","ProteomeXchange","CellType","CD8",195964656.25,"PXD004352"
"CSNK1E","ProteomeXchange","CellType","CD8",2145381.25,"PXD004352"
"CSNK1G1","ProteomeXchange","CellType","CD8",17310821.875,"PXD004352"
"CSNK1G2","ProteomeXchange","CellType","CD8",183985421.875,"PXD004352,PXD040957"
"CSNK1G3","ProteomeXchange","CellType","CD8",19870081.25,"PXD004352"
"CSNK2A1","ProteomeXchange","CellType","CD8",2547899062.5,"PXD004352"
"CSNK2A2","ProteomeXchange","CellType","CD8",1537711875,"PXD004352,PXD025174,PXD040957"
"CSRNP1","ProteomeXchange","CellType","CD8",1102387.5,"PXD004352"
"CSRP1","ProteomeXchange","CellType","CD8",1411529843.75,"PXD004352,PXD025174,PXD040957"
"CSRP2","ProteomeXchange","CellType","CD8",5203741.84375,"PXD004352"
"CSRP3","ProteomeXchange","CellType","CD8",280456.25,"PXD004352"
"CST3","ProteomeXchange","CellType","CD8",16750268.75,"PXD004352,PXD040957"
"CST6","ProteomeXchange","CellType","CD8",1331275,"PXD004352"
"CST7","ProteomeXchange","CellType","CD8",328777134.375,"PXD004352,PXD025174"
"CSTA","ProteomeXchange","CellType","CD8",51360365.9375,"PXD004352,PXD025174,PXD040957"
"CSTB","ProteomeXchange","CellType","CD8",6475015312.5,"PXD004352,PXD025174,PXD040957"
"CSTF1","ProteomeXchange","CellType","CD8",976704062.5,"PXD004352,PXD025174,PXD040957"
"CSTF2","ProteomeXchange","CellType","CD8",1322331562.5,"PXD004352,PXD025174,PXD040957"
"CSTF2T","ProteomeXchange","CellType","CD8",1612163125,"PXD004352,PXD025174,PXD040957"
"CSTF3","ProteomeXchange","CellType","CD8",1566038937.5,"PXD004352,PXD025174,PXD040957"
"CTAGE5","ProteomeXchange","CellType","CD8",581201687.5,"PXD004352,PXD040957"
"CTBP1","ProteomeXchange","CellType","CD8",2718605937.5,"PXD004352,PXD025174,PXD040957"
"CTBP2","ProteomeXchange","CellType","CD8",185960559.375,"PXD004352"
"CTBS","ProteomeXchange","CellType","CD8",420866456.25,"PXD004352,PXD025174,PXD040957"
"CTC1","ProteomeXchange","CellType","CD8",52933234.375,"PXD004352,PXD040957"
"CTCF","ProteomeXchange","CellType","CD8",1928876562.5,"PXD004352,PXD025174,PXD040957"
"CTDNEP1","ProteomeXchange","CellType","CD8",11494725,"PXD004352"
"CTDP1","ProteomeXchange","CellType","CD8",820294781.25,"PXD004352,PXD025174,PXD040957"
"CTDSP1","ProteomeXchange","CellType","CD8",67140150,"PXD004352,PXD040957"
"CTDSP2","ProteomeXchange","CellType","CD8",5751596.875,"PXD004352"
"CTDSPL","ProteomeXchange","CellType","CD8",34761781.25,"PXD004352"
"CTDSPL2","ProteomeXchange","CellType","CD8",528286937.5,"PXD004352,PXD025174,PXD040957"
"CTGF","ProteomeXchange","CellType","CD8",5960806.25,"PXD004352"
"CTH","ProteomeXchange","CellType","CD8",160586268.75,"PXD004352"
"CTIF","ProteomeXchange","CellType","CD8",9565246.875,"PXD004352"
"CTLA4","ProteomeXchange","CellType","CD8",23066003.125,"PXD004352"
"CTNNA1","ProteomeXchange","CellType","CD8",142431618.75,"PXD004352"
"CTNNA2","ProteomeXchange","CellType","CD8",21720406.25,"PXD004352"
"CTNNB1","ProteomeXchange","CellType","CD8",13927868.75,"PXD004352"
"CTNNBIP1","ProteomeXchange","CellType","CD8",3457381.25,"PXD004352"
"CTNNBL1","ProteomeXchange","CellType","CD8",1461184687.5,"PXD004352,PXD025174,PXD040957"
"CTNND1","ProteomeXchange","CellType","CD8",48908556.875,"PXD004352"
"CTPS1","ProteomeXchange","CellType","CD8",2539067187.5,"PXD004352,PXD025174,PXD040957"
"CTPS2","ProteomeXchange","CellType","CD8",151546843.75,"PXD004352,PXD040957"
"CTR9","ProteomeXchange","CellType","CD8",870458406.25,"PXD004352,PXD025174,PXD040957"
"CTSA","ProteomeXchange","CellType","CD8",667896218.75,"PXD004352,PXD040957"
"CTSB","ProteomeXchange","CellType","CD8",533108443.75,"PXD004352,PXD025174,PXD040957"
"CTSC","ProteomeXchange","CellType","CD8",2667117187.5,"PXD004352,PXD025174,PXD040957"
"CTSD","ProteomeXchange","CellType","CD8",5118686562.5,"PXD004352,PXD040957"
"CTSF","ProteomeXchange","CellType","CD8",74697025,"PXD004352"
"CTSG","ProteomeXchange","CellType","CD8",27186132.8125,"PXD004352"
"CTSH","ProteomeXchange","CellType","CD8",222012485.3125,"PXD004352,PXD025174"
"CTSL","ProteomeXchange","CellType","CD8",13562168.75,"PXD004352"
"CTSO","ProteomeXchange","CellType","CD8",5436687.5,"PXD004352"
"CTSS","ProteomeXchange","CellType","CD8",793911500,"PXD004352,PXD025174,PXD040957"
"CTSV","ProteomeXchange","CellType","CD8",1012906.25,"PXD004352"
"CTSW","ProteomeXchange","CellType","CD8",775981187.5,"PXD004352,PXD025174,PXD040957"
"CTSZ","ProteomeXchange","CellType","CD8",223691000,"PXD004352,PXD025174,PXD040957"
"CTTN","ProteomeXchange","CellType","CD8",18853298.125,"PXD004352"
"CTTNBP2NL","ProteomeXchange","CellType","CD8",31929209.375,"PXD004352"
"CTU1","ProteomeXchange","CellType","CD8",106386656.25,"PXD004352"
"CTU2","ProteomeXchange","CellType","CD8",88652993.75,"PXD004352,PXD040957"
"CUEDC1","ProteomeXchange","CellType","CD8",11344790.625,"PXD004352"
"CUEDC2","ProteomeXchange","CellType","CD8",61358778.125,"PXD004352,PXD040957"
"CUL1","ProteomeXchange","CellType","CD8",1373524000,"PXD004352,PXD025174,PXD040957"
"CUL2","ProteomeXchange","CellType","CD8",1411517875,"PXD004352,PXD025174,PXD040957"
"CUL3","ProteomeXchange","CellType","CD8",2094780406.25,"PXD004352,PXD025174,PXD040957"
"CUL4A","ProteomeXchange","CellType","CD8",1372259656.25,"PXD004352,PXD025174,PXD040957"
"CUL4B","ProteomeXchange","CellType","CD8",1612751093.75,"PXD004352,PXD025174,PXD040957"
"CUL5","ProteomeXchange","CellType","CD8",913142093.75,"PXD004352,PXD025174,PXD040957"
"CUL9","ProteomeXchange","CellType","CD8",38875706.25,"PXD004352"
"CUTA","ProteomeXchange","CellType","CD8",968785406.25,"PXD004352,PXD025174,PXD040957"
"CUTC","ProteomeXchange","CellType","CD8",1231204281.25,"PXD004352,PXD040957"
"CUX1","ProteomeXchange","CellType","CD8",99788112.5,"PXD004352,PXD040957"
"CWC15","ProteomeXchange","CellType","CD8",727601062.5,"PXD004352,PXD025174,PXD040957"
"CWC22","ProteomeXchange","CellType","CD8",775213750,"PXD004352,PXD025174,PXD040957"
"CWC25","ProteomeXchange","CellType","CD8",67728903.125,"PXD004352,PXD040957"
"CWC27","ProteomeXchange","CellType","CD8",303712093.75,"PXD004352,PXD025174,PXD040957"
"CWF19L1","ProteomeXchange","CellType","CD8",1108272906.25,"PXD004352,PXD025174,PXD040957"
"CWF19L2","ProteomeXchange","CellType","CD8",112076178.125,"PXD004352,PXD040957"
"CX3CL1","ProteomeXchange","CellType","CD8",1607375,"PXD004352"
"CX3CR1","ProteomeXchange","CellType","CD8",16323375,"PXD004352"
"CXCL1","ProteomeXchange","CellType","CD8",2112500,"PXD004352"
"CXCL10","ProteomeXchange","CellType","CD8",1642496.875,"PXD004352"
"CXCL11","ProteomeXchange","CellType","CD8",603531.25,"PXD004352"
"CXCL12","ProteomeXchange","CellType","CD8",1060562.5,"PXD004352"
"CXCL13","ProteomeXchange","CellType","CD8",373343.75,"PXD004352"
"CXCL16","ProteomeXchange","CellType","CD8",429281.25,"PXD004352"
"CXCL5","ProteomeXchange","CellType","CD8",2478437.5,"PXD004352"
"CXCL6","ProteomeXchange","CellType","CD8",538293.75,"PXD004352"
"CXCL8","ProteomeXchange","CellType","CD8",1544187.5,"PXD004352"
"CXCR1","ProteomeXchange","CellType","CD8",2284106.25,"PXD004352"
"CXCR2","ProteomeXchange","CellType","CD8",4643262.5,"PXD004352"
"CXCR3","ProteomeXchange","CellType","CD8",8440181.25,"PXD004352,PXD025174"
"CXCR4","ProteomeXchange","CellType","CD8",58226316.875,"PXD004352,PXD025174"
"CXCR5","ProteomeXchange","CellType","CD8",3744184.375,"PXD004352"
"CXCR6","ProteomeXchange","CellType","CD8",6455515.625,"PXD004352,PXD025174"
"CXORF21","ProteomeXchange","CellType","CD8",678396.875,"PXD004352"
"CXORF23","ProteomeXchange","CellType","CD8",15510781.25,"PXD004352"
"CXORF38","ProteomeXchange","CellType","CD8",332696437.5,"PXD004352,PXD025174,PXD040957"
"CXORF40B","ProteomeXchange","CellType","CD8",2549090.625,"PXD004352"
"CXORF56","ProteomeXchange","CellType","CD8",82257896.875,"PXD004352,PXD040957"
"CXXC1","ProteomeXchange","CellType","CD8",327042437.5,"PXD004352,PXD025174,PXD040957"
"CXXC5","ProteomeXchange","CellType","CD8",8295909.375,"PXD004352"
"CYB561D2","ProteomeXchange","CellType","CD8",90165187.5,"PXD004352,PXD025174,PXD040957"
"CYB5A","ProteomeXchange","CellType","CD8",466728656.25,"PXD004352,PXD040957"
"CYB5B","ProteomeXchange","CellType","CD8",1468336875,"PXD004352,PXD040957"
"CYB5R1","ProteomeXchange","CellType","CD8",1918721281.25,"PXD004352,PXD025174,PXD040957"
"CYB5R2","ProteomeXchange","CellType","CD8",2875215.625,"PXD004352"
"CYB5R3","ProteomeXchange","CellType","CD8",4751913750,"PXD004352,PXD025174,PXD040957"
"CYB5R4","ProteomeXchange","CellType","CD8",219384500,"PXD004352"
"CYBA","ProteomeXchange","CellType","CD8",236020218.75,"PXD004352,PXD025174,PXD040957"
"CYBB","ProteomeXchange","CellType","CD8",37716985.9375,"PXD004352"
"CYBRD1","ProteomeXchange","CellType","CD8",18186540.625,"PXD004352"
"CYC1","ProteomeXchange","CellType","CD8",2769510312.5,"PXD004352,PXD025174,PXD040957"
"CYCS","ProteomeXchange","CellType","CD8",6421170937.5,"PXD004352,PXD025174,PXD040957"
"CYFIP1","ProteomeXchange","CellType","CD8",85548158.75,"PXD004352"
"CYFIP2","ProteomeXchange","CellType","CD8",6201941562.5,"PXD004352,PXD040957"
"CYHR1","ProteomeXchange","CellType","CD8",36288681.25,"PXD004352"
"CYLD","ProteomeXchange","CellType","CD8",28.1435506075,"PXD040957"
"CYP11A1","ProteomeXchange","CellType","CD8",770934.375,"PXD004352"
"CYP1A1","ProteomeXchange","CellType","CD8",13878203.125,"PXD004352"
"CYP1B1","ProteomeXchange","CellType","CD8",86031031.25,"PXD004352,PXD025174"
"CYP20A1","ProteomeXchange","CellType","CD8",941749093.75,"PXD004352,PXD025174,PXD040957"
"CYP27A1","ProteomeXchange","CellType","CD8",75071790.625,"PXD004352"
"CYP2S1","ProteomeXchange","CellType","CD8",7937237.5,"PXD004352"
"CYP2U1","ProteomeXchange","CellType","CD8",71043771.875,"PXD004352,PXD040957"
"CYP4F12","ProteomeXchange","CellType","CD8",1768434.6875,"PXD004352"
"CYP4F22","ProteomeXchange","CellType","CD8",2383365.625,"PXD004352"
"CYP4F3","ProteomeXchange","CellType","CD8",81530268.75,"PXD004352"
"CYP4F8","ProteomeXchange","CellType","CD8",27937562.5,"PXD004352"
"CYP51A1","ProteomeXchange","CellType","CD8",455317287.5,"PXD004352,PXD025174,PXD040957"
"CYP7B1","ProteomeXchange","CellType","CD8",9160937.5,"PXD004352"
"CYSLTR1","ProteomeXchange","CellType","CD8",4336531.25,"PXD004352"
"CYSTM1","ProteomeXchange","CellType","CD8",8631362.5,"PXD004352"
"CYTH1","ProteomeXchange","CellType","CD8",803012281.25,"PXD004352,PXD025174,PXD040957"
"CYTH2","ProteomeXchange","CellType","CD8",40265900,"PXD004352,PXD040957"
"CYTH4","ProteomeXchange","CellType","CD8",141105875,"PXD004352,PXD025174,PXD040957"
"CYTIP","ProteomeXchange","CellType","CD8",211295881.25,"PXD004352,PXD025174,PXD040957"
"D2HGDH","ProteomeXchange","CellType","CD8",86260281.25,"PXD004352,PXD040957"
"DAAM1","ProteomeXchange","CellType","CD8",168003787.5,"PXD004352"
"DAB2","ProteomeXchange","CellType","CD8",60525878.125,"PXD004352"
"DACH1","ProteomeXchange","CellType","CD8",5915028.125,"PXD004352"
"DAD1","ProteomeXchange","CellType","CD8",795414500,"PXD004352,PXD025174,PXD040957"
"DAG1","ProteomeXchange","CellType","CD8",9632746.5625,"PXD004352"
